model,task,uq_method,n,accuracy,f1_or_macro_f1,over_commitment,brier,ece,auroc,error_detection_auroc,monotonicity_violations,monotonicity_strict_violations,monotonicity_tolerance,monotonicity_mean_max_increase,monotonicity_max_increase,pearson_modality_p_yes,high_conf_overcommit_80,high_conf_overcommit_90,text_modality_accuracy,text_modality_accuracy_all,text_modality_parse_coverage,label_text_consistency,text_over_commitment,text_under_commitment,text_high_conf_overcommit_80,text_high_conf_overcommit_90,parse_failure_rate
qwen/qwen3.5-9b,task1,label_self_consistency,471,0.970276008492569,0.944,,0.024819532908704887,0.05201698513800424,0.9957507082152974,0.8547202250703345,0.46153846153846156,0.46153846153846156,0.05,0.17692307692307696,1.0,0.6473203188913741,0.0169971671388102,0.0084985835694051,,,,,,,,,0.0017014036580178648
qwen/qwen3.5-9b,task1,predictive_entropy,471,0.970276008492569,0.944,,0.024819532908704887,0.05201698513800424,0.9957507082152974,0.8547202250703345,0.46153846153846156,0.46153846153846156,0.05,0.17692307692307696,1.0,0.6473203188913741,0.0169971671388102,0.0084985835694051,,,,,,,,,0.0017014036580178648
qwen/qwen3.5-9b,task1,variation_ratio,471,0.970276008492569,0.944,,0.024819532908704887,0.05201698513800424,0.9957507082152974,0.8547202250703345,0.46153846153846156,0.46153846153846156,0.05,0.17692307692307696,1.0,0.6473203188913741,0.0169971671388102,0.0084985835694051,,,,,,,,,0.0017014036580178648
qwen/qwen3.5-9b,task1,verbalized_confidence,470,0.9787234042553191,0.959349593495935,,0.02050531914893617,0.046276595744680876,1.0,0.7336956521739131,0.08547008547008547,0.7435897435897436,0.05,0.11111111111111115,0.95,0.6912198055794119,0.028409090909090908,0.028409090909090908,,,,,,,,,0.0
qwen/qwen3.5-9b,task2,modality_consistency,469,0.746268656716418,0.6573023055920719,0.2537313432835821,0.20597014925373136,0.18208955223880596,,0.6562905162064825,,,,,,,0.21748400852878466,0.12366737739872068,,,,,,,,,0.0
qwen/qwen3.5-9b,task2,predictive_entropy,469,0.746268656716418,0.6573023055920719,0.2537313432835821,0.20597014925373136,0.18208955223880596,,0.6562905162064825,,,,,,,0.21748400852878466,0.12366737739872068,,,,,,,,,0.0
qwen/qwen3.5-9b,task2,variation_ratio,469,0.746268656716418,0.6573023055920719,0.2537313432835821,0.20597014925373136,0.18208955223880596,,0.6562905162064825,,,,,,,0.21748400852878466,0.12366737739872068,,,,,,,,,0.0
qwen/qwen3.5-9b,task2,verbalized_confidence,469,0.744136460554371,0.6548120702826585,0.255863539445629,0.2312633262260128,0.23614072494669502,,0.9068767908309456,,,,,,,0.255863539445629,0.255863539445629,0.511727078891258,0.511727078891258,1.0,0.7377398720682303,0.488272921108742,0.0,0.488272921108742,0.488272921108742,0.0
rule_based_baseline,task1,deterministic_rules,468,1.0,1.0,,0.0,0.0,1.0,,0.0,0.0,0.05,0.0,0.0,0.7730367090608538,0.0,0.0,,,,,,,,,0.0
rule_based_baseline,task2,deterministic_rules,468,1.0,1.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,0.0
