model,task,uq_method,n,accuracy,brier,ece,error_detection_auroc,parse_failure_rate,text_modality_accuracy,text_modality_accuracy_all,text_modality_parse_coverage,label_text_consistency,text_over_commitment,text_under_commitment,text_high_conf_overcommit_80,text_high_conf_overcommit_90,strengthening_recall,false_preserve_rate,evidence_phrase_source_rate,monotonicity_strict_violations,monotonicity_tolerance,monotonicity_mean_max_increase,monotonicity_max_increase,unsupported_mandatory_acceptance_80,unsupported_mandatory_acceptance_90,high_conf_overcommit_all_80,high_conf_overcommit_all_90,high_conf_overcommit_overcommittable_80,high_conf_overcommit_overcommittable_90,weak_recall,weak_strengthening_80,weak_strengthening_90,over_commitment_severity_all,over_commitment_severity_given_overcommitment,high_conf_overcommit_80,high_conf_overcommit_90,f1_or_macro_f1,auroc,spearman_modality_p_yes,pearson_modality_p_yes,monotonicity_violations,over_commitment,under_commitment,over_commitment_severity
qwen/qwen3.5-9b,task1,label_self_consistency,468,0.9700854700854701,0.02497863247863248,0.05235042735042735,0.8544682190056639,0.00042735042735042735,,,,,,,,,,,,0.46153846153846156,0.05,0.17692307692307696,1.0,0.017094017094017096,0.008547008547008548,,,,,,,,,,0.017094017094017096,0.008547008547008548,0.9435483870967742,0.9957264957264957,0.5382344758557136,0.5968205642152902,0.46153846153846156,,,
qwen/qwen3.5-9b,task1,predictive_entropy,468,0.9700854700854701,0.02497863247863248,0.05235042735042735,0.8544682190056639,0.00042735042735042735,,,,,,,,,,,,0.46153846153846156,0.05,0.17692307692307696,1.0,0.017094017094017096,0.008547008547008548,,,,,,,,,,0.017094017094017096,0.008547008547008548,0.9435483870967742,0.9957264957264957,0.5382344758557136,0.5968205642152902,0.46153846153846156,,,
qwen/qwen3.5-9b,task1,variation_ratio,468,0.9700854700854701,0.02497863247863248,0.05235042735042735,0.8544682190056639,0.00042735042735042735,,,,,,,,,,,,0.46153846153846156,0.05,0.17692307692307696,1.0,0.017094017094017096,0.008547008547008548,,,,,,,,,,0.017094017094017096,0.008547008547008548,0.9435483870967742,0.9957264957264957,0.5382344758557136,0.5968205642152902,0.46153846153846156,,,
qwen/qwen3.5-9b,task1,verbalized_confidence,468,0.9786324786324786,0.020587606837606836,0.046367521367521355,0.7336244541484715,0.0,,,,,,,,,,,,0.7435897435897436,0.05,0.11111111111111115,0.95,0.02849002849002849,0.02849002849002849,,,,,,,,,,0.02849002849002849,0.02849002849002849,0.9590163934426229,1.0,0.5716589466909193,0.6408931149610236,0.08547008547008547,,,
qwen/qwen3.5-9b,task2,modality_consistency,468,0.7457264957264957,0.20641025641025643,0.1824786324786325,0.6560039488574799,0.0,,,,,,,,,,,,,,,,,,0.21794871794871795,0.12393162393162394,0.2905982905982906,0.16524216524216523,0.0,0.8717948717948718,0.49572649572649574,0.5299145299145299,2.0840336134453783,0.21794871794871795,0.12393162393162394,0.6572039578344009,,,,,0.25427350427350426,0.0,0.5299145299145299
qwen/qwen3.5-9b,task2,predictive_entropy,468,0.7457264957264957,0.20641025641025643,0.1824786324786325,0.6560039488574799,0.0,,,,,,,,,,,,,,,,,,0.21794871794871795,0.12393162393162394,0.2905982905982906,0.16524216524216523,0.0,0.8717948717948718,0.49572649572649574,0.5299145299145299,2.0840336134453783,0.21794871794871795,0.12393162393162394,0.6572039578344009,,,,,0.25427350427350426,0.0,0.5299145299145299
qwen/qwen3.5-9b,task2,variation_ratio,468,0.7457264957264957,0.20641025641025643,0.1824786324786325,0.6560039488574799,0.0,,,,,,,,,,,,,,,,,,0.21794871794871795,0.12393162393162394,0.2905982905982906,0.16524216524216523,0.0,0.8717948717948718,0.49572649572649574,0.5299145299145299,2.0840336134453783,0.21794871794871795,0.12393162393162394,0.6572039578344009,,,,,0.25427350427350426,0.0,0.5299145299145299
qwen/qwen3.5-9b,task2,verbalized_confidence,468,0.7435897435897436,0.23175747863247864,0.23664529914529897,0.9066091954022988,0.0,0.5106837606837606,0.5106837606837606,1.0,0.7371794871794872,0.4893162393162393,0.0,0.4893162393162393,0.4893162393162393,,,,,,,,,,0.2564102564102564,0.2564102564102564,0.3418803418803419,0.3418803418803419,0.0,1.0,1.0,0.5363247863247863,2.091666666666667,0.2564102564102564,0.2564102564102564,0.654699167056852,,,,,0.2564102564102564,0.0,0.5363247863247863
rule_based_baseline,task1,deterministic_rules,468,1.0,0.0,0.0,,0.0,,,,,,,,,,,,0.0,0.05,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,1.0,1.0,0.7745966692414835,0.7217025197117519,0.0,,,
rule_based_baseline,task2,deterministic_rules,468,1.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,,,0.0,0.0,0.0
