model,task,uq_method,accuracy,accuracy_ci_low,accuracy_ci_high,brier,brier_ci_low,brier_ci_high
qwen/qwen3.5-9b,task1,verbalized_confidence,0.9786324786324786,0.9658119658119658,0.9914529914529915,0.020587606837606836,0.009070245726495728,0.03214249465811966
qwen/qwen3.5-9b,task2,verbalized_confidence,0.7435897435897436,0.7350427350427351,0.75,0.23175747863247864,0.22597743055555555,0.23947649572649574
qwen/qwen3.5-9b,task1,label_self_consistency,0.9700854700854701,0.9551282051282052,0.9829059829059829,0.02497863247863248,0.016580128205128206,0.03446634615384616
qwen/qwen3.5-9b,task1,predictive_entropy,0.9700854700854701,0.9551282051282052,0.9829059829059829,0.02497863247863248,0.016580128205128206,0.03446634615384616
qwen/qwen3.5-9b,task1,variation_ratio,0.9700854700854701,0.9551282051282052,0.9829059829059829,0.02497863247863248,0.016580128205128206,0.03446634615384616
qwen/qwen3.5-9b,task2,modality_consistency,0.7457264957264957,0.7393162393162394,0.75,0.20641025641025643,0.19649572649572652,0.2158141025641026
qwen/qwen3.5-9b,task2,predictive_entropy,0.7457264957264957,0.7393162393162394,0.75,0.20641025641025643,0.19649572649572652,0.2158141025641026
qwen/qwen3.5-9b,task2,variation_ratio,0.7457264957264957,0.7393162393162394,0.75,0.20641025641025643,0.19649572649572652,0.2158141025641026
rule_based_baseline,task1,deterministic_rules,1.0,1.0,1.0,0.0,0.0,0.0
rule_based_baseline,task2,deterministic_rules,1.0,1.0,1.0,0.0,0.0,0.0
