seed_id,source_dataset,original_requirement,capability_text_auto,auto_include,auto_exclusion_reason,include,exclusion_reason,capability_text_final
S0001,NICE,'The system shall refresh the display every 60 seconds.',refresh the display every 60 seconds,yes,,yes,,refresh the display every 60 seconds
S0002,NICE,'The application shall match the color of the schema set forth by Department of Homeland Security',match the color of the schema set forth by Department of Homeland Security,yes,,yes,,match the color of the schema set forth by Department of Homeland Security
S0003,NICE,'If projected the data must be readable. On a 10x10 projection screen 90% of viewers must be able to read Event / Activity data from a viewing distance of 30',be readable. On a 10x10 projection screen 90% of viewers must be able to read Event / Activity data from a viewing distance of 30,no,multi_sentence;formula_or_symbol;residual_modal_in_capability,no,multi_sentence;formula_or_symbol;residual_modal_in_capability,
S0004,NICE,'The product shall be available during normal business hours. As long as the user has access to the client PC the system will be available 99% of the time during the first six months of operation.',be available during normal business hours. As long as the user has access to the client PC the system will be available 99% of the time during the first six months of operation,no,too_long;multi_sentence;formula_or_symbol;residual_modal_in_capability,no,too_long;multi_sentence;formula_or_symbol;residual_modal_in_capability,
S0005,NICE,'If projected the data must be understandable. On a 10x10 projection screen 90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100',be understandable. On a 10x10 projection screen 90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,no,multi_sentence;formula_or_symbol;residual_modal_in_capability,no,multi_sentence;formula_or_symbol;residual_modal_in_capability,
S0006,NICE,'The product shall ensure that it can only be accessed by authorized users. The product will be able to distinguish between authorized and unauthorized users in all access attempts',ensure that it can only be accessed by authorized users. The product will be able to distinguish between authorized and unauthorized users in all access attempts,no,multi_sentence;residual_modal_in_capability,no,multi_sentence;residual_modal_in_capability,
S0007,NICE,'The product shall be intuitive and self-explanatory. : 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.',be intuitive and self-explanatory. : 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product,no,multi_sentence;formula_or_symbol;possibly_multiple_capabilities;residual_modal_in_capability,no,multi_sentence;formula_or_symbol;possibly_multiple_capabilities;residual_modal_in_capability,
S0008,NICE,'The product shall respond fast to keep up-to-date data in the display.',respond fast to keep up-to-date data in the display,yes,,yes,,respond fast to keep up-to-date data in the display
S0009,NICE,'The system shall have a MDI form that allows for the viewing of the graph and the data table.',have a MDI form that allows for the viewing of the graph and the data table,yes,,yes,,have a MDI form that allows for the viewing of the graph and the data table
S0010,NICE,'The system shall display Events in a vertical table by time.',display Events in a vertical table by time,yes,,yes,,display Events in a vertical table by time
S0011,NICE,'The system shall display the Events in a graph by time.',display the Events in a graph by time,yes,,yes,,display the Events in a graph by time
S0012,NICE,'The system shall display Events or Activities.',display Events or Activities,yes,,yes,,display Events or Activities
S0013,NICE,'The display shall have two regions: left 2/3 of the display is graphical right 1/3 of the display is a data table',have two regions: left 2/3 of the display is graphical right 1/3 of the display is a data table,no,formula_or_symbol,no,formula_or_symbol,
S0014,NICE,'The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data',displayed in both the nodes within the graph and the rows in the table are MSEL Summary data,yes,,yes,,display MSEL Summary data in both graph nodes and table rows
S0015,NICE,'The table side of the display shall be split into 2 regions: sequential and temporal.',be split into 2 regions: sequential and temporal,yes,,yes,,split the table side of the display into sequential and temporal regions
S0016,NICE,'The top 1/4 of the table will hold events that are to occur sequentially.',hold events that are to occur sequentially,no,formula_or_symbol,no,formula_or_symbol,
S0017,NICE,'The bottom 3/4 of the table will hold events that occur according to its relevance to current time.',hold events that occur according to its relevance to current time,no,formula_or_symbol,no,formula_or_symbol,
S0018,NICE,'The system shall color code events according to their variance from current time.',color code events according to their variance from current time,yes,,yes,,color code events according to their variance from current time
S0019,NICE,'The system shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications',display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications,no,multi_sentence,no,multi_sentence,
S0020,NICE,'The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.',link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications,no,multi_sentence,no,multi_sentence,
S0021,NICE,'The system shall allow modification of the display.',allow modification of the display,yes,,yes,,allow modification of the display
S0022,NICE,'The system shall offer a display of all the Events in the exercise.',offer a display of all the Events in the exercise,yes,,yes,,offer a display of all the Events in the exercise
S0023,NICE,'The system shall filter data by: Venues and Key Events.',filter data by: Venues and Key Events,yes,,yes,,filter data by: Venues and Key Events
S0024,NICE,'The system shall allow a user to define the time segments',allow a user to define the time segments,yes,,yes,,allow a user to define the time segments
