seed_id,source_dataset,original_requirement,capability_text_auto,auto_include,auto_exclusion_reason,include,exclusion_reason,capability_text_final
S0001,NICE,'The system shall refresh the display every 60 seconds.',refresh the display every 60 seconds,yes,,yes,,refresh the display every 60 seconds
S0002,NICE,'The application shall match the color of the schema set forth by Department of Homeland Security',match the color of the schema set forth by Department of Homeland Security,yes,,yes,,match the color of the schema set forth by Department of Homeland Security
S0008,NICE,'The product shall respond fast to keep up-to-date data in the display.',respond fast to keep up-to-date data in the display,yes,,yes,,respond fast to keep up-to-date data in the display
S0009,NICE,'The system shall have a MDI form that allows for the viewing of the graph and the data table.',have a MDI form that allows for the viewing of the graph and the data table,yes,,yes,,have a MDI form that allows for the viewing of the graph and the data table
S0010,NICE,'The system shall display Events in a vertical table by time.',display Events in a vertical table by time,yes,,yes,,display Events in a vertical table by time
S0011,NICE,'The system shall display the Events in a graph by time.',display the Events in a graph by time,yes,,yes,,display the Events in a graph by time
S0012,NICE,'The system shall display Events or Activities.',display Events or Activities,yes,,yes,,display Events or Activities
S0014,NICE,'The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data',displayed in both the nodes within the graph and the rows in the table are MSEL Summary data,yes,,yes,,display MSEL Summary data in both graph nodes and table rows
S0015,NICE,'The table side of the display shall be split into 2 regions: sequential and temporal.',be split into 2 regions: sequential and temporal,yes,,yes,,split the table side of the display into sequential and temporal regions
S0018,NICE,'The system shall color code events according to their variance from current time.',color code events according to their variance from current time,yes,,yes,,color code events according to their variance from current time
S0021,NICE,'The system shall allow modification of the display.',allow modification of the display,yes,,yes,,allow modification of the display
S0022,NICE,'The system shall offer a display of all the Events in the exercise.',offer a display of all the Events in the exercise,yes,,yes,,offer a display of all the Events in the exercise
S0023,NICE,'The system shall filter data by: Venues and Key Events.',filter data by: Venues and Key Events,yes,,yes,,filter data by: Venues and Key Events
S0024,NICE,'The system shall allow a user to define the time segments',allow a user to define the time segments,yes,,yes,,allow a user to define the time segments
S0025,NICE,'The system shall display the local and exercise time in separate clocks',display the local and exercise time in separate clocks,yes,,yes,,display the local and exercise time in separate clocks
S0026,NICE,'The system shall offer the ability to pause and resume the refresh of data.',offer the ability to pause and resume the refresh of data,yes,,yes,,offer the ability to pause and resume the refresh of data
S0027,NICE,'The system shall provide charts for the Activity or Event actual versus assumed time.',provide charts for the Activity or Event actual versus assumed time,yes,,yes,,provide charts for the Activity or Event actual versus assumed time
S0028,NICE,'The system shall provide a history report of changes made to the Activity or Event data',provide a history report of changes made to the Activity or Event data,yes,,yes,,provide a history report of changes made to the Activity or Event data
S0029,NICE,'The look and feel of the system shall conform to the user interface standards of the smart device.',conform to the user interface standards of the smart device,yes,,yes,,conform to the smart device user interface standards in look and feel
S0030,NICE,'The user interface shall have standard menus buttons for navigation',have standard menus buttons for navigation,yes,,yes,,provide standard menu buttons for navigation
S0031,NICE,'The system shall have a professional appearance',have a professional appearance,yes,,yes,,have a professional appearance
S0032,NICE,'The product shall have a consistent color scheme and fonts.',have a consistent color scheme and fonts,yes,,yes,,have a consistent color scheme and fonts
S0034,NICE,'The system shall be intuitive and self explanatory.',be intuitive and self explanatory,yes,,yes,,be intuitive and self explanatory
S0035,NICE,'The product shall be easy for a realtor to learn.',be easy for a realtor to learn,yes,,yes,,be easy for a realtor to learn
S0036,NICE,'The product shall use symbols and words that are naturally understandable by the realtor community.',use symbols and words that are naturally understandable by the realtor community,yes,,yes,,use symbols and words that are naturally understandable by the realtor community
S0037,NICE,'The product shall produce search results in an acceptable time',produce search results in an acceptable time,yes,,yes,,produce search results in an acceptable time
S0039,NICE,'The product shall generate a CMA report in an acceptable time.',generate a CMA report in an acceptable time,yes,,yes,,generate a CMA report in an acceptable time
S0041,NICE,'The product shall synchronize contacts and appointments in an acceptable time.',synchronize contacts and appointments in an acceptable time,yes,,yes,,synchronize contacts and appointments in an acceptable time
S0042,NICE,'The product shall synchronize with the office system every hour.',synchronize with the office system every hour,yes,,yes,,synchronize with the office system every hour
S0043,NICE,'The product shall be available for use 24 hours per day 365 days per year',be available for use 24 hours per day 365 days per year,yes,,yes,,be available for use 24 hours per day 365 days per year
S0044,NICE,'Out of 1000 accesses to the system the system is available 999 times.',out of 1000 accesses to the system the system is available 999 times,yes,,yes,,be available for 999 out of 1000 access attempts
S0045,NICE,'The product shall operate in offline mode whenever internet connection is unavailable.',operate in offline mode whenever internet connection is unavailable,yes,,yes,,operate in offline mode whenever internet connection is unavailable
S0046,NICE,'The product shall allow the user to view previously downloaded search results CMA reports and appointments.',allow the user to view previously downloaded search results CMA reports and appointments,yes,,yes,,"allow the user to view previously downloaded search results, CMA reports, and appointments"
