seed_id,source_dataset,source_corpus,original_requirement,capability_text_auto,auto_include,auto_exclusion_reason,include,exclusion_reason,capability_text_final
S0110,mlm_tapt,2013_echo_srd_WEB,More than 10 (TBC) of the planets observed in the Chemical Census tier shall be observed in the Rosetta Stone tier.,be observed in the Rosetta Stone tier,yes,,yes,,observe more than 10 of the planets observed in the Chemical Census tier in the Rosetta Stone tier
S0198,mlm_tapt,2005_skal1_WEB,The SKA1_Mid shall have the configuration defined in the TB,have the configuration defined in the TB,yes,,yes,,have the configuration defined in the TB
S0391,mlm_tapt,2021_gmt_oad_web,The Facilities shall provide space for Storage of mobile equipment and electrical equipment.,provide space for Storage of mobile equipment and electrical equipment,yes,,yes,,provide space for Storage of mobile equipment and electrical equipment
S0456,mlm_tapt,2019_jpss_l1rds_web,"The JPSS Ground System shall provide communication services for the S-NPP, JPSS-1, and JPSS-2 missions.","provide communication services for the S-NPP, JPSS-1, and JPSS-2 missions",yes,,yes,,"provide communication services for the S-NPP, JPSS-1, and JPSS-2 missions"
S0585,mlm_tapt,2021_gmt_ord_web,"The Observatory shall comply with the Health, Safety, Security, and Environmental Strategy document (GMT-DOC-01061).","comply with the Health, Safety, Security, and Environmental Strategy document (GMT-DOC-01061)",yes,,yes,,"comply with the Health, Safety, Security, and Environmental Strategy document (GMT-DOC-01061)"
S2234,mlm_tapt,2006_hgs_ird_web,The HSC shall make SSO ephemerides information available to the MOC SSO database.,make SSO ephemerides information available to the MOC SSO database,yes,,yes,,make SSO ephemerides information available to the MOC SSO database
S2373,mlm_tapt,2015_skal0_WEB,SKA1-MID shall provide the capability to change observing modes and/or bands within less than 5 seconds.,provide the capability to change observing modes and/or bands within less than 5 seconds,yes,,yes,,change observing modes and/or bands within less than 5 seconds
S2544,mlm_tapt,2013_loft_mrd_web,The MOC shall provide all telemetry to the SOC.,provide all telemetry to the SOC,yes,,yes,,provide all telemetry to the SOC
S3077,mlm_tapt,2019_jpss_dps,The Cloud Cover/Layers product shall provide fractional cloud cover with a horizontal cell size of 10 kilometers.,provide fractional cloud cover with a horizontal cell size of 10 kilometers,yes,,yes,,provide fractional cloud cover with a horizontal cell size of 10 kilometers
S3293,mlm_tapt,2005_skal1_WEB,Equipment required for test and support shall be identified for each repairable item.,be identified for each repairable item,yes,,yes,,identify equipment needed for test and support for each repairable item
S3339,mlm_tapt,2019_jpss_l1rds_web,The JPSS Ground System shall provide a description of the science algorithms needed to process the JPSS Direct Broadcast data.,provide a description of the science algorithms needed to process the JPSS Direct Broadcast data,yes,,yes,,provide a description of the science algorithms needed to process the JPSS Direct Broadcast data
S3655,mlm_tapt,2021_gmt_oad_web,The GMT shall slew telescope to target during target acquisition in GLAO mode in a maximum of 120 sec.,slew telescope to target during target acquisition in GLAO mode in a maximum of 120 sec,yes,,yes,,slew telescope to target during target acquisition in GLAO mode in a maximum of 120 sec
S3740,mlm_tapt,2012_d51_web,Development of the SICCI system shall be undertaken with apt consideration for availability of input data from EO archives.,be undertaken with apt consideration for availability of input data from EO archives,yes,,yes,,account for the availability of input data from EO archives during development of the SICCI system
