model,arm,stratum,run_id,batch_size,batch_order,n,n_failed,n_text_readable,label_accuracy,strict_text_strengthening,strict_text_strengthening_ci_low,strict_text_strengthening_ci_high,strict_text_strengthening_seed_ci_low,strict_text_strengthening_seed_ci_high,broad_text_strengthening,broad_text_strengthening_ci_low,broad_text_strengthening_ci_high,broad_text_strengthening_seed_ci_low,broad_text_strengthening_seed_ci_high,bootstrap_ci_cluster_field,weak_strict_text_strengthening_90
gemma4-12b-it,single,all,full-20260912-182144-98f4101f,1,grouped,720,0,720,1.0,0.25,0.21940972222222221,0.28194444444444444,0.25,0.25,0.25,0.21940972222222221,0.28194444444444444,0.25,0.25,item_id,
gemma4-12b-it,grouped,all,full-20260912-182714-7f0d7bea,16,grouped,720,0,720,1.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.016666666666666666,0.15,0.05,0.12083333333333333,batch_id,
gemma4-12b-it,grouped_4,all,full-20260912-182343-19b06c86,4,grouped,720,0,720,1.0,0.011111111111111112,0.005520833333333336,0.019444444444444445,0.005520833333333336,0.019444444444444445,0.03611111111111111,0.018055555555555554,0.058333333333333334,0.018055555555555554,0.058333333333333334,batch_id,
gemma4-12b-it,shuffled,all,full-20260912-182908-8f6ea7c6,16,shuffled,720,0,720,1.0,0.14305555555555555,0.09440972222222223,0.19305555555555556,0.12638888888888888,0.16111111111111112,0.14305555555555555,0.09440972222222223,0.19305555555555556,0.12638888888888888,0.16111111111111112,batch_id,
gemma4-12b-it,shuffled_4,all,full-20260912-182530-d092c9be,4,shuffled,720,0,720,1.0,0.1597222222222222,0.125,0.19444444444444445,0.14166666666666666,0.17777777777777778,0.16805555555555557,0.13194444444444445,0.20555555555555555,0.1486111111111111,0.1875,batch_id,
gemma4-12b-it,single,weak_intent,full-20260912-182144-98f4101f,1,grouped,180,0,180,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,item_id,1.0
gemma4-12b-it,grouped,weak_intent,full-20260912-182714-7f0d7bea,16,grouped,180,0,180,1.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.022222222222222223,0.2,0.06666666666666667,0.16111111111111112,batch_id,0.0
gemma4-12b-it,grouped_4,weak_intent,full-20260912-182343-19b06c86,4,grouped,180,0,180,1.0,0.044444444444444446,0.022083333333333344,0.07777777777777778,0.022083333333333344,0.07777777777777778,0.07777777777777778,0.044444444444444446,0.11666666666666667,0.044444444444444446,0.11666666666666667,batch_id,0.044444444444444446
gemma4-12b-it,shuffled,weak_intent,full-20260912-182908-8f6ea7c6,16,shuffled,180,0,180,1.0,0.5722222222222222,0.4035523449731128,0.7278205128205129,0.5,0.6444444444444445,0.5722222222222222,0.4035523449731128,0.7278205128205129,0.5,0.6444444444444445,batch_id,0.5722222222222222
gemma4-12b-it,shuffled_4,weak_intent,full-20260912-182530-d092c9be,4,shuffled,180,0,180,1.0,0.6111111111111112,0.5146156576412129,0.699479903470084,0.5388888888888889,0.6777777777777778,0.6166666666666667,0.5254237288135594,0.7031698258196721,0.5444444444444444,0.6833333333333333,batch_id,0.6111111111111112
gemma4-31b-it,single,all,full-20260912-153627-86520c81,1,grouped,720,0,720,1.0,0.24861111111111112,0.21666666666666667,0.28055555555555556,0.24583333333333332,0.25,0.25,0.21805555555555556,0.28055555555555556,0.25,0.25,item_id,
gemma4-31b-it,grouped,all,full-20260912-154816-74714fa3,16,grouped,720,0,720,1.0,0.1111111111111111,0.07222222222222222,0.15,0.09305555555555556,0.13194444444444445,0.4777777777777778,0.4,0.5611111111111111,0.4375,0.5166666666666667,batch_id,
gemma4-31b-it,grouped_4,all,full-20260912-154042-5aa822b8,4,grouped,720,0,720,1.0,0.24444444444444444,0.2388888888888889,0.24861111111111112,0.2388888888888889,0.24861111111111112,0.25277777777777777,0.24583333333333332,0.2625,0.24583333333333332,0.2625,batch_id,
gemma4-31b-it,shuffled,all,full-20260912-155216-dfa0b225,16,shuffled,720,0,719,1.0,0.18915159944367177,0.1502086230876217,0.22777777777777777,0.17246175243393602,0.20417376564673156,0.3741307371349096,0.31284043296089387,0.44506258692628653,0.35138888888888886,0.39777468706536856,batch_id,
gemma4-31b-it,shuffled_4,all,full-20260912-154431-da59ea89,4,shuffled,720,0,720,1.0,0.18194444444444444,0.14583333333333334,0.21805555555555556,0.16246527777777778,0.2,0.4986111111111111,0.4485763888888889,0.5527777777777778,0.46944444444444444,0.5263888888888889,batch_id,
gemma4-31b-it,single,weak_intent,full-20260912-153627-86520c81,1,grouped,180,0,180,1.0,0.9944444444444445,0.9833333333333333,1.0,0.9833333333333333,1.0,1.0,1.0,1.0,1.0,1.0,item_id,0.9944444444444445
gemma4-31b-it,grouped,weak_intent,full-20260912-154816-74714fa3,16,grouped,180,0,180,1.0,0.4444444444444444,0.28888888888888886,0.6,0.37222222222222223,0.5277777777777778,0.9333333333333333,0.8444444444444444,1.0,0.8944444444444445,0.9666666666666667,batch_id,0.4444444444444444
gemma4-31b-it,grouped_4,weak_intent,full-20260912-154042-5aa822b8,4,grouped,180,0,180,1.0,0.9777777777777777,0.9555555555555556,0.9944444444444445,0.9555555555555556,0.9944444444444445,0.9888888888888889,0.9722222222222222,1.0,0.9722222222222222,1.0,batch_id,0.9777777777777777
gemma4-31b-it,shuffled,weak_intent,full-20260912-155216-dfa0b225,16,shuffled,180,0,179,1.0,0.7597765363128491,0.640210027100271,0.8686313364055299,0.7,0.8222222222222222,1.0,1.0,1.0,1.0,1.0,batch_id,0.7597765363128491
