model,arm,stratum,metric,baseline_arm,baseline_value,arm_value,full_arm_baseline_descriptive,full_arm_comparison_descriptive,delta,delta_ci_low,delta_ci_high,delta_cluster_field,n_delta_clusters,n_baseline,n_arm,n_complete_pairs,n_excluded_single_arm,n_matched_capabilities,n_excluded_ineligible_items,n_duplicate_identities,n_missing_identity_rows,n_baseline_failed_items,n_comparison_failed_items,n_baseline_unclassified_items,n_comparison_unclassified_items,n_baseline_eligible_items,n_comparison_eligible_items,unavailable_reason,delta_ci_unavailable_reason,cluster_note
gemma4-12b-it,grouped,all,label_accuracy,single,1.0,1.0,1.0,1.0,0.0,0.0,0.0,seed_id,180,720,720,720,0,180,0,0,0,0,0,0,0,720,720,,,capability-conditional; cross-capability request dependence not modelled
gemma4-12b-it,grouped,all,strict_text_strengthening,single,0.25,0.0,0.25,0.0,-0.25,-0.25,-0.25,seed_id,180,720,720,720,0,180,0,0,0,0,0,0,0,720,720,,,capability-conditional; cross-capability request dependence not modelled
gemma4-12b-it,grouped,all,broad_text_strengthening,single,0.25,0.08333333333333333,0.25,0.08333333333333333,-0.16666666666666669,-0.2,-0.12916666666666665,seed_id,180,720,720,720,0,180,0,0,0,0,0,0,0,720,720,,,capability-conditional; cross-capability request dependence not modelled
gemma4-12b-it,grouped_4,all,label_accuracy,single,1.0,1.0,1.0,1.0,0.0,0.0,0.0,seed_id,180,720,720,720,0,180,0,0,0,0,0,0,0,720,720,,,capability-conditional; cross-capability request dependence not modelled
gemma4-12b-it,grouped_4,all,strict_text_strengthening,single,0.25,0.011111111111111112,0.25,0.011111111111111112,-0.2388888888888889,-0.24583333333333332,-0.23055555555555557,seed_id,180,720,720,720,0,180,0,0,0,0,0,0,0,720,720,,,capability-conditional; cross-capability request dependence not modelled
gemma4-12b-it,grouped_4,all,broad_text_strengthening,single,0.25,0.03611111111111111,0.25,0.03611111111111111,-0.2138888888888889,-0.23333333333333334,-0.19305555555555556,seed_id,180,720,720,720,0,180,0,0,0,0,0,0,0,720,720,,,capability-conditional; cross-capability request dependence not modelled
gemma4-12b-it,shuffled,all,label_accuracy,single,1.0,1.0,1.0,1.0,0.0,0.0,0.0,seed_id,180,720,720,720,0,180,0,0,0,0,0,0,0,720,720,,,capability-conditional; cross-capability request dependence not modelled
gemma4-12b-it,shuffled,all,strict_text_strengthening,single,0.25,0.14305555555555555,0.25,0.14305555555555555,-0.10694444444444445,-0.125,-0.08888888888888888,seed_id,180,720,720,720,0,180,0,0,0,0,0,0,0,720,720,,,capability-conditional; cross-capability request dependence not modelled
gemma4-12b-it,shuffled,all,broad_text_strengthening,single,0.25,0.14305555555555555,0.25,0.14305555555555555,-0.10694444444444445,-0.125,-0.08888888888888888,seed_id,180,720,720,720,0,180,0,0,0,0,0,0,0,720,720,,,capability-conditional; cross-capability request dependence not modelled
gemma4-12b-it,shuffled_4,all,label_accuracy,single,1.0,1.0,1.0,1.0,0.0,0.0,0.0,seed_id,180,720,720,720,0,180,0,0,0,0,0,0,0,720,720,,,capability-conditional; cross-capability request dependence not modelled
gemma4-12b-it,shuffled_4,all,strict_text_strengthening,single,0.25,0.1597222222222222,0.25,0.1597222222222222,-0.09027777777777779,-0.10833333333333334,-0.07083333333333333,seed_id,180,720,720,720,0,180,0,0,0,0,0,0,0,720,720,,,capability-conditional; cross-capability request dependence not modelled
gemma4-12b-it,shuffled_4,all,broad_text_strengthening,single,0.25,0.16805555555555557,0.25,0.16805555555555557,-0.08194444444444443,-0.1014236111111111,-0.0625,seed_id,180,720,720,720,0,180,0,0,0,0,0,0,0,720,720,,,capability-conditional; cross-capability request dependence not modelled
