model,dataset,variant,source_modality,n_planned,n_readable,n_strict_up,n_broad_only_up,n_equal,n_down,n_unknown,n_negated,n_invalid,n_heuristic
all,all,all,nice_to_have,6480,6337,6320,16,1,0,143,0,0,16
all,all,all,optional,6480,6132,12,239,5881,0,348,0,0,239
all,all,all,recommended,6480,6177,127,209,5841,0,303,0,0,209
all,all,all,mandatory,6480,6182,0,0,6181,1,298,0,0,47
all,mlm_tapt,must,nice_to_have,1620,1576,1571,4,1,0,44,0,0,4
all,mlm_tapt,must,optional,1620,1527,5,31,1491,0,93,0,0,31
all,mlm_tapt,must,recommended,1620,1539,39,44,1456,0,81,0,0,44
all,mlm_tapt,must,mandatory,1620,1534,0,0,1534,0,86,0,0,13
all,mlm_tapt,shall,nice_to_have,1620,1582,1578,4,0,0,38,0,0,4
all,mlm_tapt,shall,optional,1620,1539,1,39,1499,0,81,0,0,39
all,mlm_tapt,shall,recommended,1620,1552,42,52,1458,0,68,0,0,52
all,mlm_tapt,shall,mandatory,1620,1553,0,0,1553,0,67,0,0,5
all,nice,must,nice_to_have,1620,1588,1585,3,0,0,32,0,0,3
all,nice,must,optional,1620,1537,3,93,1441,0,83,0,0,93
all,nice,must,recommended,1620,1540,25,55,1460,0,80,0,0,55
all,nice,must,mandatory,1620,1538,0,0,1537,1,82,0,0,22
all,nice,shall,nice_to_have,1620,1591,1586,5,0,0,29,0,0,5
all,nice,shall,optional,1620,1529,3,76,1450,0,91,0,0,76
all,nice,shall,recommended,1620,1546,21,58,1467,0,74,0,0,58
all,nice,shall,mandatory,1620,1557,0,0,1557,0,63,0,0,7
gemma4-12b-it,all,all,nice_to_have,720,720,720,0,0,0,0,0,0,0
gemma4-12b-it,all,all,optional,720,720,0,0,720,0,0,0,0,0
gemma4-12b-it,all,all,recommended,720,720,0,0,720,0,0,0,0,0
gemma4-12b-it,all,all,mandatory,720,720,0,0,720,0,0,0,0,0
gemma4-12b-it,mlm_tapt,must,nice_to_have,180,180,180,0,0,0,0,0,0,0
gemma4-12b-it,mlm_tapt,must,optional,180,180,0,0,180,0,0,0,0,0
gemma4-12b-it,mlm_tapt,must,recommended,180,180,0,0,180,0,0,0,0,0
gemma4-12b-it,mlm_tapt,must,mandatory,180,180,0,0,180,0,0,0,0,0
gemma4-12b-it,mlm_tapt,shall,nice_to_have,180,180,180,0,0,0,0,0,0,0
gemma4-12b-it,mlm_tapt,shall,optional,180,180,0,0,180,0,0,0,0,0
gemma4-12b-it,mlm_tapt,shall,recommended,180,180,0,0,180,0,0,0,0,0
gemma4-12b-it,mlm_tapt,shall,mandatory,180,180,0,0,180,0,0,0,0,0
gemma4-12b-it,nice,must,nice_to_have,180,180,180,0,0,0,0,0,0,0
gemma4-12b-it,nice,must,optional,180,180,0,0,180,0,0,0,0,0
gemma4-12b-it,nice,must,recommended,180,180,0,0,180,0,0,0,0,0
gemma4-12b-it,nice,must,mandatory,180,180,0,0,180,0,0,0,0,0
gemma4-12b-it,nice,shall,nice_to_have,180,180,180,0,0,0,0,0,0,0
gemma4-12b-it,nice,shall,optional,180,180,0,0,180,0,0,0,0,0
gemma4-12b-it,nice,shall,recommended,180,180,0,0,180,0,0,0,0,0
gemma4-12b-it,nice,shall,mandatory,180,180,0,0,180,0,0,0,0,0
gemma4-31b-it,all,all,nice_to_have,720,720,719,1,0,0,0,0,0,1
gemma4-31b-it,all,all,optional,720,720,0,0,720,0,0,0,0,0
gemma4-31b-it,all,all,recommended,720,720,0,0,720,0,0,0,0,0
gemma4-31b-it,all,all,mandatory,720,720,0,0,720,0,0,0,0,0
gemma4-31b-it,mlm_tapt,must,nice_to_have,180,180,180,0,0,0,0,0,0,0
gemma4-31b-it,mlm_tapt,must,optional,180,180,0,0,180,0,0,0,0,0
gemma4-31b-it,mlm_tapt,must,recommended,180,180,0,0,180,0,0,0,0,0
gemma4-31b-it,mlm_tapt,must,mandatory,180,180,0,0,180,0,0,0,0,0
gemma4-31b-it,mlm_tapt,shall,nice_to_have,180,180,179,1,0,0,0,0,0,1
gemma4-31b-it,mlm_tapt,shall,optional,180,180,0,0,180,0,0,0,0,0
gemma4-31b-it,mlm_tapt,shall,recommended,180,180,0,0,180,0,0,0,0,0
gemma4-31b-it,mlm_tapt,shall,mandatory,180,180,0,0,180,0,0,0,0,0
gemma4-31b-it,nice,must,nice_to_have,180,180,180,0,0,0,0,0,0,0
gemma4-31b-it,nice,must,optional,180,180,0,0,180,0,0,0,0,0
gemma4-31b-it,nice,must,recommended,180,180,0,0,180,0,0,0,0,0
gemma4-31b-it,nice,must,mandatory,180,180,0,0,180,0,0,0,0,0
gemma4-31b-it,nice,shall,nice_to_have,180,180,180,0,0,0,0,0,0,0
gemma4-31b-it,nice,shall,optional,180,180,0,0,180,0,0,0,0,0
