model,dataset,variant,source_modality,text_modality,n,n_strict,n_heuristic,n_frame_only,n_escalation,source_readable_n,strict_percentage
all,all,all,nice_to_have,nice_to_have,1,0,0,0,0,6337,0.0
all,all,all,nice_to_have,optional,1951,1951,0,1951,0,6337,30.787438851191414
all,all,all,nice_to_have,recommended,2575,2575,0,0,2575,6337,40.63436957550891
all,all,all,nice_to_have,mandatory,1810,1794,16,0,1794,6337,28.309925832412812
all,all,all,optional,nice_to_have,0,0,0,0,0,6132,0.0
all,all,all,optional,optional,5881,0,0,0,0,6132,0.0
all,all,all,optional,recommended,0,0,0,0,0,6132,0.0
all,all,all,optional,mandatory,251,12,239,0,12,6132,0.19569471624266144
all,all,all,recommended,nice_to_have,0,0,0,0,0,6177,0.0
all,all,all,recommended,optional,0,0,0,0,0,6177,0.0
all,all,all,recommended,recommended,5841,0,0,0,0,6177,0.0
all,all,all,recommended,mandatory,336,127,209,0,127,6177,2.0560142463979276
all,all,all,mandatory,nice_to_have,0,0,0,0,0,6182,0.0
all,all,all,mandatory,optional,1,0,0,0,0,6182,0.0
all,all,all,mandatory,recommended,0,0,0,0,0,6182,0.0
all,all,all,mandatory,mandatory,6181,0,47,0,0,6182,0.0
all,mlm_tapt,must,nice_to_have,nice_to_have,1,0,0,0,0,1576,0.0
all,mlm_tapt,must,nice_to_have,optional,504,504,0,504,0,1576,31.97969543147208
all,mlm_tapt,must,nice_to_have,recommended,551,551,0,0,551,1576,34.96192893401015
all,mlm_tapt,must,nice_to_have,mandatory,520,516,4,0,516,1576,32.74111675126903
all,mlm_tapt,must,optional,nice_to_have,0,0,0,0,0,1527,0.0
all,mlm_tapt,must,optional,optional,1491,0,0,0,0,1527,0.0
all,mlm_tapt,must,optional,recommended,0,0,0,0,0,1527,0.0
all,mlm_tapt,must,optional,mandatory,36,5,31,0,5,1527,0.3274394237066143
all,mlm_tapt,must,recommended,nice_to_have,0,0,0,0,0,1539,0.0
all,mlm_tapt,must,recommended,optional,0,0,0,0,0,1539,0.0
all,mlm_tapt,must,recommended,recommended,1456,0,0,0,0,1539,0.0
all,mlm_tapt,must,recommended,mandatory,83,39,44,0,39,1539,2.53411306042885
all,mlm_tapt,must,mandatory,nice_to_have,0,0,0,0,0,1534,0.0
all,mlm_tapt,must,mandatory,optional,0,0,0,0,0,1534,0.0
all,mlm_tapt,must,mandatory,recommended,0,0,0,0,0,1534,0.0
all,mlm_tapt,must,mandatory,mandatory,1534,0,13,0,0,1534,0.0
all,mlm_tapt,shall,nice_to_have,nice_to_have,0,0,0,0,0,1582,0.0
all,mlm_tapt,shall,nice_to_have,optional,506,506,0,506,0,1582,31.984829329962075
all,mlm_tapt,shall,nice_to_have,recommended,546,546,0,0,546,1582,34.51327433628319
all,mlm_tapt,shall,nice_to_have,mandatory,530,526,4,0,526,1582,33.24905183312263
all,mlm_tapt,shall,optional,nice_to_have,0,0,0,0,0,1539,0.0
all,mlm_tapt,shall,optional,optional,1499,0,0,0,0,1539,0.0
all,mlm_tapt,shall,optional,recommended,0,0,0,0,0,1539,0.0
all,mlm_tapt,shall,optional,mandatory,40,1,39,0,1,1539,0.0649772579597141
all,mlm_tapt,shall,recommended,nice_to_have,0,0,0,0,0,1552,0.0
all,mlm_tapt,shall,recommended,optional,0,0,0,0,0,1552,0.0
all,mlm_tapt,shall,recommended,recommended,1458,0,0,0,0,1552,0.0
all,mlm_tapt,shall,recommended,mandatory,94,42,52,0,42,1552,2.7061855670103094
all,mlm_tapt,shall,mandatory,nice_to_have,0,0,0,0,0,1553,0.0
all,mlm_tapt,shall,mandatory,optional,0,0,0,0,0,1553,0.0
all,mlm_tapt,shall,mandatory,recommended,0,0,0,0,0,1553,0.0
all,mlm_tapt,shall,mandatory,mandatory,1553,0,5,0,0,1553,0.0
all,nice,must,nice_to_have,nice_to_have,0,0,0,0,0,1588,0.0
all,nice,must,nice_to_have,optional,461,461,0,461,0,1588,29.030226700251887
all,nice,must,nice_to_have,recommended,742,742,0,0,742,1588,46.72544080604534
all,nice,must,nice_to_have,mandatory,385,382,3,0,382,1588,24.055415617128464
all,nice,must,optional,nice_to_have,0,0,0,0,0,1537,0.0
all,nice,must,optional,optional,1441,0,0,0,0,1537,0.0
all,nice,must,optional,recommended,0,0,0,0,0,1537,0.0
all,nice,must,optional,mandatory,96,3,93,0,3,1537,0.1951854261548471
all,nice,must,recommended,nice_to_have,0,0,0,0,0,1540,0.0
all,nice,must,recommended,optional,0,0,0,0,0,1540,0.0
all,nice,must,recommended,recommended,1460,0,0,0,0,1540,0.0
