model,item_context,stratum,run_id,n,n_text_readable,label_accuracy,strict_text_strengthening,strict_text_strengthening_ci_low,strict_text_strengthening_ci_high,strict_text_strengthening_seed_ci_low,strict_text_strengthening_seed_ci_high,broad_text_strengthening,broad_text_strengthening_ci_low,broad_text_strengthening_ci_high,broad_text_strengthening_seed_ci_low,broad_text_strengthening_seed_ci_high,bootstrap_ci_cluster_field,weak_strict_text_strengthening_90,estimate_cohort,n_failed_items,n_unclassified_items
gemma4-12b-it,bare,all,full-20260912-183056-a8f859c6,720,720,1.0,0.25,0.21940972222222221,0.2847222222222222,0.25,0.25,0.25,0.21940972222222221,0.2847222222222222,0.25,0.25,item_id,,full_arm_descriptive,0,0
gemma4-12b-it,document,all,full-20260912-183247-67006adc,720,720,0.9097222222222222,0.2513888888888889,0.21940972222222221,0.28194444444444444,0.25,0.25416666666666665,0.2513888888888889,0.21940972222222221,0.28194444444444444,0.25,0.25416666666666665,item_id,,full_arm_descriptive,0,0
gemma4-12b-it,bare,weak_intent,full-20260912-183056-a8f859c6,180,180,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,item_id,1.0,full_arm_descriptive,0,0
gemma4-12b-it,document,weak_intent,full-20260912-183247-67006adc,180,180,0.6555555555555556,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,item_id,1.0,full_arm_descriptive,0,0
gemma4-12b-it,bare,marker_M,full-20260912-183056-a8f859c6,620,620,1.0,0.25,0.2161290322580645,0.2839112903225806,0.25,0.25,0.25,0.2161290322580645,0.2839112903225806,0.25,0.25,item_id,,full_arm_descriptive,0,0
gemma4-12b-it,document,marker_M,full-20260912-183247-67006adc,620,620,0.9370967741935484,0.25,0.2161290322580645,0.28225806451612906,0.25,0.25,0.25,0.2161290322580645,0.28225806451612906,0.25,0.25,item_id,,full_arm_descriptive,0,0
gemma4-12b-it,bare,marker_O,full-20260912-183056-a8f859c6,100,100,1.0,0.25,0.17,0.34,0.25,0.25,0.25,0.17,0.34,0.25,0.25,item_id,,full_arm_descriptive,0,0
gemma4-12b-it,document,marker_O,full-20260912-183247-67006adc,100,100,0.74,0.26,0.17,0.35,0.25,0.28,0.26,0.17,0.35,0.25,0.28,item_id,,full_arm_descriptive,0,0
gemma4-12b-it,bare,modality_mandatory,full-20260912-183056-a8f859c6,180,180,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
gemma4-12b-it,document,modality_mandatory,full-20260912-183247-67006adc,180,180,0.9888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
gemma4-12b-it,bare,modality_recommended,full-20260912-183056-a8f859c6,180,180,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
gemma4-12b-it,document,modality_recommended,full-20260912-183247-67006adc,180,180,0.9944444444444445,0.005555555555555556,0.0,0.016666666666666666,0.0,0.016666666666666666,0.005555555555555556,0.0,0.016666666666666666,0.0,0.016666666666666666,item_id,,full_arm_descriptive,0,0
gemma4-12b-it,bare,modality_optional,full-20260912-183056-a8f859c6,180,180,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
gemma4-12b-it,document,modality_optional,full-20260912-183247-67006adc,180,180,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
gemma4-12b-it,bare,modality_nice_to_have,full-20260912-183056-a8f859c6,180,180,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,item_id,,full_arm_descriptive,0,0
gemma4-12b-it,document,modality_nice_to_have,full-20260912-183247-67006adc,180,180,0.6555555555555556,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,item_id,,full_arm_descriptive,0,0
gemma4-12b-it,bare,marker_M/modality_mandatory,full-20260912-183056-a8f859c6,155,155,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
gemma4-12b-it,document,marker_M/modality_mandatory,full-20260912-183247-67006adc,155,155,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
gemma4-12b-it,bare,marker_M/modality_recommended,full-20260912-183056-a8f859c6,155,155,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
