feature_backend,text_variant,group_mode,scope,target,model,folds,auroc_mean,auroc_std,auprc_mean,baseline_auprc,auprc_lift_over_baseline,balanced_accuracy_mean,positive_rate,n_excluded_samples,folds_requested,partial_evaluation,evaluated_fold_ids,n_eligible,class_counts_eligible,class_order,n_evaluated_samples,n_evaluated_capabilities,class_counts,averaging,resampling_unit,uncertainty_scope,bootstrap_samples,bootstrap_seed,fit_review_required,unavailable_reason,auroc_ci_low,auroc_ci_high,auprc_ci_low,auprc_ci_high,bootstrap_valid,ci_unavailable_reason
mlx,prefixed,seed,global,source_modality,hgb,3,0.9429619582094956,0.010447078546371337,0.861171702441749,0.25,3.444686809766996,0.7546913580246913,,0,3,False,"[0, 1, 2]",129600,"{""mandatory"": 32400, ""nice_to_have"": 32400, ""optional"": 32400, ""recommended"": 32400}","[""mandatory"", ""nice_to_have"", ""optional"", ""recommended""]",129600,360,"{""mandatory"": 32400, ""nice_to_have"": 32400, ""optional"": 32400, ""recommended"": 32400}",equal mean of evaluable folds; binary positive-class AP; multiclass macro OVR AUROC/AP,"capability across samples, models and keyword cells",fixed held-out predictions and folds; no refitting or generation uncertainty,1000,20260527,True,,0.9368527235511943,0.949440037821696,0.8490975993974985,0.8760120173200776,1000,
mlx,prefixed,seed,global,dataset_variant,hgb,3,0.8245530597469898,0.01171449046690905,0.5250684654740297,0.25,2.100273861896119,0.4956712962962963,,0,3,False,"[0, 1, 2]",129600,"{""mlm_tapt/must"": 32400, ""mlm_tapt/shall"": 32400, ""nice/must"": 32400, ""nice/shall"": 32400}","[""mlm_tapt/must"", ""mlm_tapt/shall"", ""nice/must"", ""nice/shall""]",129600,360,"{""mlm_tapt/must"": 32400, ""mlm_tapt/shall"": 32400, ""nice/must"": 32400, ""nice/shall"": 32400}",equal mean of evaluable folds; binary positive-class AP; multiclass macro OVR AUROC/AP,"capability across samples, models and keyword cells",fixed held-out predictions and folds; no refitting or generation uncertainty,1000,20260527,True,,0.8129804783290702,0.8337957898406342,0.5106756530036279,0.5400163191021009,1000,
mlx,prefixed,seed,global,deterministic_strict_text_overcommit,hgb,3,0.9098894088019094,0.006358471845384885,0.8342949625080508,0.2601493728724811,3.2069843309482127,0.8173193268634295,0.2601493728724811,5460,3,False,"[0, 1, 2]",124140,"{""0"": 91845, ""1"": 32295}","[""0"", ""1""]",124140,360,"{""0"": 91845, ""1"": 32295}",equal mean of evaluable folds; binary positive-class AP; multiclass macro OVR AUROC/AP,"capability across samples, models and keyword cells",fixed held-out predictions and folds; no refitting or generation uncertainty,1000,20260527,True,,0.9022543030105631,0.9184577491994158,0.8200210599220096,0.8495610349436583,1000,
mlx,prefixed,seed,global,sample_strict_text_overcommit,hgb,3,0.9046234181262457,0.012720362899644698,0.8275516388911681,0.2605898209917778,3.1756867391887855,0.8214598157318381,0.2605898209917778,7194,3,False,"[0, 1, 2]",122406,"{""0"": 90508, ""1"": 31898}","[""0"", ""1""]",122406,360,"{""0"": 90508, ""1"": 31898}",equal mean of evaluable folds; binary positive-class AP; multiclass macro OVR AUROC/AP,"capability across samples, models and keyword cells",fixed held-out predictions and folds; no refitting or generation uncertainty,1000,20260527,True,,0.8951531171692545,0.9149452264674326,0.8130317157213988,0.8437219355360603,1000,
mlx,prefixed,seed,source_modality=recommended,deterministic_strict_text_overcommit,hgb,3,0.6134596427569068,0.0110930286628779,0.040031628823637415,0.020565637243609245,1.9465299494221708,0.5002033311115366,0.020565637243609245,1515,3,False,"[0, 1, 2]",30885,"{""0"": 30250, ""1"": 635}","[""0"", ""1""]",30885,360,"{""0"": 30250, ""1"": 635}",equal mean of evaluable folds; binary positive-class AP; multiclass macro OVR AUROC/AP,"capability across samples, models and keyword cells",fixed held-out predictions and folds; no refitting or generation uncertainty,1000,20260527,True,,0.5528689502727839,0.6629778137635052,0.0310434628805113,0.06095467031397383,1000,
mlx,prefixed,seed,source_modality=recommended,sample_strict_text_overcommit,hgb,3,0.721136837050209,0.03196775481942229,0.10470411172616649,0.03452726763848815,3.0325049993081694,0.6235028487793987,0.03452726763848815,2164,3,False,"[0, 1, 2]",30236,"{""0"": 29192, ""1"": 1044}","[""0"", ""1""]",30236,360,"{""0"": 29192, ""1"": 1044}",equal mean of evaluable folds; binary positive-class AP; multiclass macro OVR AUROC/AP,"capability across samples, models and keyword cells",fixed held-out predictions and folds; no refitting or generation uncertainty,1000,20260527,True,,0.6978637737987871,0.7471676166980505,0.09969555606780771,0.1462678374871115,1000,
mlx,prefixed,seed,source_modality=optional,deterministic_strict_text_overcommit,hgb,3,0.6637382714969021,0.2216120047153977,0.03192593226381151,0.0019565502327760797,16.317461074594,0.4999836681365344,0.0019565502327760797,1740,3,False,"[0, 1, 2]",30660,"{""0"": 30600, ""1"": 60}","[""0"", ""1""]",30660,360,"{""0"": 30600, ""1"": 60}",equal mean of evaluable folds; binary positive-class AP; multiclass macro OVR AUROC/AP,"capability across samples, models and keyword cells",fixed held-out predictions and folds; no refitting or generation uncertainty,1000,20260527,True,,,,,,859,fewer than 90% defined bootstrap draws (missing fold classes)
mlx,prefixed,seed,source_modality=optional,sample_strict_text_overcommit,hgb,3,0.8258819878425497,0.03089875676492549,0.09274126577786951,0.010319627579361895,8.986881073435413,0.5838776851227517,0.010319627579361895,1682,3,False,"[0, 1, 2]",30718,"{""0"": 30401, ""1"": 317}","[""0"", ""1""]",30718,360,"{""0"": 30401, ""1"": 317}",equal mean of evaluable folds; binary positive-class AP; multiclass macro OVR AUROC/AP,"capability across samples, models and keyword cells",fixed held-out predictions and folds; no refitting or generation uncertainty,1000,20260527,True,,0.799144597688373,0.8536601871184814,0.07205906392341159,0.18740216601419157,1000,
mlx,prefixed,seed,source_modality=nice_to_have,deterministic_strict_text_overcommit,hgb,3,0.5825528831186954,0.0576200201147224,0.9980491199562378,0.9973183944764585,1.0007326902660438,0.5,0.9973183944764585,715,3,False,"[0, 1, 2]",31685,"{""0"": 85, ""1"": 31600}","[""0"", ""1""]",31685,360,"{""0"": 85, ""1"": 31600}",equal mean of evaluable folds; binary positive-class AP; multiclass macro OVR AUROC/AP,"capability across samples, models and keyword cells",fixed held-out predictions and folds; no refitting or generation uncertainty,1000,20260527,True,,0.43262019177421274,0.7054722800769789,0.9963585965181377,0.9992409028546313,949,
mlx,prefixed,seed,source_modality=nice_to_have,sample_strict_text_overcommit,hgb,3,0.706492905735349,0.028218522238305895,0.9923218892847858,0.983732511571053,1.0087314159211993,0.5098197625089912,0.983732511571053,1358,3,False,"[0, 1, 2]",31042,"{""0"": 505, ""1"": 30537}","[""0"", ""1""]",31042,360,"{""0"": 505, ""1"": 30537}",equal mean of evaluable folds; binary positive-class AP; multiclass macro OVR AUROC/AP,"capability across samples, models and keyword cells",fixed held-out predictions and folds; no refitting or generation uncertainty,1000,20260527,True,,0.6772751882654227,0.7399305345284469,0.9909553153569718,0.993889214853036,1000,
