slice,threshold,n,n_positive,frac_one_cluster,frac_clusters_1,frac_clusters_2,frac_clusters_3,frac_clusters_4,frac_clusters_5,mean_entropy,frac_entropy_zero,mean_dispersion,frac_dispersion_clipped,mean_pairwise_distance_min,mean_pairwise_distance_median,mean_pairwise_distance_max,frac_pairwise_above_threshold,auroc_mean_pairwise_distance,auroc_any_variation,distinct_scores_reference_weight,frac_score_zero_reference_weight,frac_score_zero_positives,frac_score_zero_negatives,frac_one_cluster_positives,frac_one_cluster_negatives
pooled:all,0.1,24828,6459,0.994884807475431,0.994884807475431,0.004994361205091026,0.0001208313194780087,0.0,0.0,0.0040286859275438566,0.994884807475431,0.05289759272069192,0.000563879490897374,0.0,0.0006463247514589265,0.1344249648251164,0.000563879490897374,0.7190116123451626,0.7220006080136072,9248,0.4960125664572257,0.16751819167053725,0.6115194076977516,0.9941167363368942,0.995154880505199
pooled:all,0.2,24828,6459,0.9999597228935073,0.9999597228935073,4.027710649266957e-05,0.0,0.0,0.0,2.9077174757828352e-05,0.9999597228935073,0.026487029611093237,0.0,0.0,0.0006463247514589265,0.1344249648251164,0.0,0.7190116123451626,0.7220006080136072,9257,0.4960125664572257,0.16751819167053725,0.6115194076977516,1.0,0.9999455604551146
pooled:all,0.35,24828,6459,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01513544549205328,0.0,0.0,0.0006463247514589265,0.1344249648251164,0.0,0.7190116123451626,0.7220006080136072,9257,0.4960125664572257,0.16751819167053725,0.6115194076977516,1.0,1.0
pooled:all,0.5,24828,6459,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.010594811844437295,0.0,0.0,0.0006463247514589265,0.1344249648251164,0.0,0.7190116123451626,0.7220006080136072,9257,0.4960125664572257,0.16751819167053725,0.6115194076977516,1.0,1.0
pooled:all,0.7,24828,6459,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00756772274602664,0.0,0.0,0.0006463247514589265,0.1344249648251164,0.0,0.7190116123451626,0.7220006080136072,9257,0.4960125664572257,0.16751819167053725,0.6115194076977516,1.0,1.0
model:glm-5.3,0.1,2880,725,0.9979166666666667,0.9979166666666667,0.0020833333333333333,0.0,0.0,0.0,0.0016769491557148567,0.9979166666666667,0.018116688863776004,0.00034722222222222224,0.0,0.0,0.10543228818990154,0.00034722222222222224,0.672471077686215,0.6248851908152652,1163,0.5496527777777778,0.3627586206896552,0.6125290023201856,1.0,0.997215777262181
model:glm-5.3,0.2,2880,725,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.009067775487773247,0.0,0.0,0.0,0.10543228818990154,0.0,0.672471077686215,0.6248851908152652,1163,0.5496527777777778,0.3627586206896552,0.6125290023201856,1.0,1.0
model:glm-5.3,0.35,2880,725,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.005181585993013285,0.0,0.0,0.0,0.10543228818990154,0.0,0.672471077686215,0.6248851908152652,1163,0.5496527777777778,0.3627586206896552,0.6125290023201856,1.0,1.0
model:glm-5.3,0.5,2880,725,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.003627110195109299,0.0,0.0,0.0,0.10543228818990154,0.0,0.672471077686215,0.6248851908152652,1163,0.5496527777777778,0.3627586206896552,0.6125290023201856,1.0,1.0
model:glm-5.3,0.7,2880,725,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0025907929965066426,0.0,0.0,0.0,0.10543228818990154,0.0,0.672471077686215,0.6248851908152652,1163,0.5496527777777778,0.3627586206896552,0.6125290023201856,1.0,1.0
model:glm-5.3-flash,0.1,2879,752,0.9968739145536645,0.9968739145536645,0.003126085446335533,0.0,0.0,0.0,0.002602793627042545,0.9968739145536645,0.03778254066042072,0.0006946856547412296,0.0,0.0020340690027628393,0.11018022831505951,0.0006946856547412296,0.7644372880592983,0.6374869959687504,1743,0.3494268843348385,0.14627659574468085,0.4212505876821815,0.9960106382978723,0.997179125528914
model:glm-5.3-flash,0.2,2879,752,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01892368168956968,0.0,0.0,0.0020340690027628393,0.11018022831505951,0.0,0.7644372880592983,0.6374869959687504,1744,0.3494268843348385,0.14627659574468085,0.4212505876821815,1.0,1.0
model:glm-5.3-flash,0.35,2879,752,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.010813532394039819,0.0,0.0,0.0020340690027628393,0.11018022831505951,0.0,0.7644372880592983,0.6374869959687504,1744,0.3494268843348385,0.14627659574468085,0.4212505876821815,1.0,1.0
