model,dataset,variant,planned_items,deterministic_parsed,deterministic_missing,unreadable,readable,readable_without_group,evaluated,strict_positive,groups_scored,groups_without_valid_sample,groups_complete_five,groups_incomplete,groups_single_sample,missing_or_invalid_samples
gemma4-12b-it,mlm_tapt,must,720,720,0,0,720,0,720,180,720,0,720,0,0,0
gemma4-12b-it,mlm_tapt,shall,720,720,0,0,720,0,720,180,720,0,720,0,0,0
gemma4-12b-it,nice,must,720,720,0,0,720,0,720,180,720,0,720,0,0,0
gemma4-12b-it,nice,shall,720,720,0,0,720,0,720,180,720,0,720,0,0,0
gemma4-31b-it,mlm_tapt,must,720,720,0,0,720,0,720,180,720,0,720,0,0,0
gemma4-31b-it,mlm_tapt,shall,720,720,0,0,720,0,720,179,720,0,720,0,0,0
gemma4-31b-it,nice,must,720,720,0,0,720,0,720,180,720,0,720,0,0,0
gemma4-31b-it,nice,shall,720,720,0,0,720,0,720,180,720,0,720,0,0,0
glm-5.3,mlm_tapt,must,720,720,0,0,720,0,720,182,720,0,720,0,0,0
glm-5.3,mlm_tapt,shall,720,720,0,0,720,0,720,182,720,0,720,0,0,0
glm-5.3,nice,must,720,720,0,0,720,0,720,180,720,0,720,0,0,0
glm-5.3,nice,shall,720,720,0,0,720,0,720,181,720,0,720,0,0,0
glm-5.3-flash,mlm_tapt,must,720,720,0,1,719,0,719,191,720,0,720,0,0,0
glm-5.3-flash,mlm_tapt,shall,720,720,0,0,720,0,720,190,720,0,720,0,0,0
glm-5.3-flash,nice,must,720,720,0,0,720,0,720,186,720,0,720,0,0,0
glm-5.3-flash,nice,shall,720,720,0,0,720,0,720,185,720,0,720,0,0,0
gpt-oss-20b,mlm_tapt,must,720,720,0,252,468,0,468,165,720,0,720,0,0,0
gpt-oss-20b,mlm_tapt,shall,720,720,0,208,512,0,512,172,720,0,720,0,0,0
gpt-oss-20b,nice,must,720,720,0,226,494,0,494,170,720,0,720,0,0,0
gpt-oss-20b,nice,shall,720,720,0,223,497,0,497,168,720,0,720,0,0,0
muse-glimmer-30b,mlm_tapt,must,720,720,0,51,669,0,669,180,720,0,720,0,0,0
muse-glimmer-30b,mlm_tapt,shall,720,720,0,46,674,0,674,180,720,0,720,0,0,0
muse-glimmer-30b,nice,must,720,720,0,51,669,0,669,180,720,0,720,0,0,0
muse-glimmer-30b,nice,shall,720,720,0,34,686,0,686,180,720,0,720,0,0,0
qwen3.5-9b,mlm_tapt,must,720,720,0,0,720,0,720,177,720,0,720,0,0,0
qwen3.5-9b,mlm_tapt,shall,720,720,0,0,720,0,720,178,720,0,720,0,0,0
qwen3.5-9b,nice,must,720,720,0,0,720,0,720,177,720,0,720,0,0,0
qwen3.5-9b,nice,shall,720,720,0,0,720,0,720,176,720,0,720,0,0,0
qwen3.6-27b,mlm_tapt,must,720,720,0,0,720,0,720,180,720,0,720,0,0,0
qwen3.6-27b,mlm_tapt,shall,720,720,0,0,720,0,720,180,720,0,720,0,0,0
qwen3.6-27b,nice,must,720,720,0,0,720,0,720,180,720,0,720,0,0,0
qwen3.6-27b,nice,shall,720,720,0,0,720,0,720,180,720,0,720,0,0,0
qwen3.8-27b,mlm_tapt,must,720,720,0,0,720,0,720,180,720,0,720,0,0,0
qwen3.8-27b,mlm_tapt,shall,720,720,0,0,720,0,720,180,720,0,720,0,0,0
qwen3.8-27b,nice,must,720,720,0,0,720,0,720,180,720,0,720,0,0,0
qwen3.8-27b,nice,shall,720,720,0,0,720,0,720,180,720,0,720,0,0,0
