slice_kind,slice,n,n_positive,reported_n,reported_n_positive,reported_auroc,live_auroc,abs_diff_live_vs_reported,live_capability_ci_low,live_capability_ci_high,live_item_ci_low,live_item_ci_high,auroc,auroc_sklearn,abs_diff_auroc,abs_diff_cache_vs_live_auroc,max_abs_score_diff_cache_vs_live,capability_ci_low,capability_ci_high,reported_capability_ci_low,reported_capability_ci_high,item_ci_low,item_ci_high,reported_item_ci_low,reported_item_ci_high,reported_ci_cluster_field,n_capability_clusters,n_item_clusters
pooled,all,24828,6459,24828.0,6459.0,0.7190208921003753,0.7190208921003753,0.0,0.7104498001173551,0.7281416035249526,0.7113273317993599,0.7258419127871092,0.7190116123451626,0.7190116123451628,9.27975521269886e-06,9.27975521269886e-06,0.0002927393581690571,0.7104380137640202,0.7281296534221027,0.710449800117355,0.7281416035249525,0.7113042136036326,0.7258196124569912,0.71132733179936,0.725841912787109,item_id,360,1440
model,glm-5.3,2880,725,2880.0,725.0,0.6725875670053604,0.6725875670053604,0.0,0.6456839309449633,0.6977493086490386,0.6460612274704721,0.7003206360118406,0.672471077686215,0.6724710776862151,0.0001164893191454297,0.0001164893191454297,0.00021336248883658399,0.6455611472113576,0.6976870073899893,0.6456839309449633,0.6977493086490385,0.6459466149971056,0.7001675988924877,0.646061227470472,0.7003206360118407,item_id,360,1440
model,glm-5.3-flash,2879,752,2879.0,752.0,0.7645479473636827,0.7645479473636827,0.0,0.7405422813697934,0.788973758613075,0.7401247642385974,0.7872180692532166,0.7644372880592983,0.7644372880592983,0.000110659304384364,0.000110659304384364,0.00015593174314834646,0.7403827690768368,0.788968651725219,0.7405422813697935,0.788973758613075,0.7400453589298995,0.7872580323863987,0.7401247642385973,0.7872180692532165,item_id,360,1440
model,qwen3.6-27b,2880,720,2880.0,720.0,0.9310834619341564,0.9310834619341564,0.0,0.911371624228395,0.949929960776749,0.913984249002051,0.9472895210887452,0.9311033950617283,0.9311033950617283,1.9933127571980513e-05,1.9933127571980513e-05,9.484210584982666e-05,0.9114018936471193,0.9499472575874485,0.9113716242283949,0.949929960776749,0.9140057731422828,0.9473074522567485,0.913984249002051,0.9472895210887451,item_id,360,1440
model,qwen3.8-27b,2880,720,2880.0,720.0,0.6960879629629628,0.6960879629629629,1.1102230246251565e-16,0.6679202192644033,0.7250006430041152,0.668210551410554,0.7210896708991359,0.6962737911522634,0.6962737911522634,0.0001858281893005742,0.0001858281893004632,0.0002927393581690571,0.6681000434027778,0.7251128311471193,0.6679202192644033,0.725000643004115,0.668499877799131,0.7213290159548945,0.668210551410554,0.7210896708991358,item_id,360,1440
model,qwen3.5-9b,2880,708,2880.0,708.0,0.7097145488029466,0.7097145488029466,0.0,0.6871293392466754,0.7342843327019868,0.683731256152587,0.7331126488564067,0.7097334072062511,0.7097334072062511,1.8858403304511384e-05,1.8858403304511384e-05,0.00021890840214987967,0.6871786382893063,0.734292720845216,0.6871293392466754,0.7342843327019868,0.6837424729954888,0.7331603302884933,0.683731256152587,0.7331126488564067,item_id,360,1440
model,gemma4-31b-it,2880,719,2880.0,719.0,0.9420846476190968,0.9420846476190966,2.220446049250313e-16,0.9293411470083739,0.9555092271090535,0.9296248112587483,0.9538186489428943,0.9421271252491539,0.9421271252491538,4.24776300570473e-05,4.2477630057269344e-05,7.877829312175066e-05,0.9294845248165666,0.9555392714763375,0.9293411470083738,0.9555092271090535,0.9296485046443852,0.9538657064320301,0.9296248112587483,0.9538186489428943,item_id,360,1440
model,gemma4-12b-it,2880,720,2880.0,720.0,0.9657478137860082,0.9657478137860083,1.1102230246251565e-16,0.9544635014789095,0.9752953719778807,0.9564624432098332,0.9740259122689926,0.9657220936213992,0.9657220936213989,2.572016460899995e-05,2.5720164609110974e-05,9.253796680108728e-05,0.9544468798225308,0.9752798595036009,0.9544635014789093,0.9752953719778806,0.956427680007834,0.9740119090277929,0.9564624432098332,0.9740259122689926,item_id,360,1440
model,muse-glimmer-30b,2698,720,2698.0,720.0,0.2988596786877879,0.2988596786877879,0.0,0.2766480778925045,0.3207235503974553,0.27989742476953366,0.31706793977410896,0.2988814459049545,0.29888144590495447,2.1767217166623887e-05,2.1767217166623887e-05,0.00018638385147282804,0.276645688786744,0.32076217103149496,0.2766480778925045,0.3207235503974553,0.2799348309937307,0.31708822978965506,0.27989742476953366,0.317067939774109,item_id,360,1392
model,gpt-oss-20b,1971,675,1971.0,675.0,0.6087665752171925,0.6087665752171925,0.0,0.5831128495887841,0.6349502557680249,0.5798411210383464,0.6362265756927779,0.6088363054412437,0.6088363054412436,6.97302240512121e-05,6.97302240512121e-05,0.0002654788110563813,0.5830916557512449,0.635032934476206,0.5831128495887842,0.6349502557680249,0.5799798021415263,0.6362375297381961,0.5798411210383464,0.6362265756927779,item_id,355,1172
cell,mlm_tapt/must,6176,1615,6176.0,1615.0,0.716894820333654,0.7168948203336539,1.1102230246251565e-16,0.7031851558483307,0.7299782729716376,0.7051388734831093,0.7295199698604637,0.7168373944391914,0.7168373944391915,5.7425894462670435e-05,5.742589446255941e-05,0.0002654788110563813,0.7031297415565253,0.7299269119888817,0.7031851558483307,0.7299782729716375,0.7050764191466318,0.7295141817699252,0.7051388734831092,0.7295199698604637,item_id,180,720
cell,mlm_tapt/shall,6226,1621,6226.0,1621.0,0.7324389242441597,0.7324389242441597,0.0,0.719930874582935,0.7451189393518017,0.7214526724090036,0.7434293217146763,0.7324911701132195,0.7324911701132194,5.224586905983042e-05,5.224586905983042e-05,0.00021892819119106316,0.7199723954284626,0.7451965965741146,0.7199308745829351,0.7451189393518017,0.721497129437077,0.7434787832710141,0.7214526724090036,0.7434293217146763,item_id,180,720
cell,nice/must,6203,1613,6203.0,1613.0,0.707074531955098,0.707074531955098,0.0,0.6932129967833858,0.7210742638220383,0.6936828705318219,0.7193493104243466,0.7070068628126321,0.7070068628126323,6.766914246580935e-05,6.766914246580935e-05,0.0002927393581690571,0.6931173169676779,0.7209949887252464,0.6932129967833858,0.7210742638220383,0.6936696048789095,0.719244713300158,0.6936828705318219,0.7193493104243466,item_id,180,720
cell,nice/shall,6223,1610,6223.0,1610.0,0.7172497923098777,0.7172497923098777,0.0,0.7031474900095037,0.729532356493567,0.7065057752676257,0.7285660519309772,0.7172701237254154,0.7172701237254155,2.0331415537699904e-05,2.0331415537699904e-05,0.00019330062542865026,0.7031965879972216,0.7295684051205353,0.7031474900095037,0.729532356493567,0.7065485525880331,0.7285452622738324,0.7065057752676257,0.728566051930977,item_id,180,720
