model,dataset,variant,source_modality,n_items,n_valid,n_parse_failures,n_text_unclassified,broad_strengthening_n,broad_strengthening_denominator,broad_strengthening_rate,broad_strengthening_ci_low,broad_strengthening_ci_high,broad_strengthening_seed_ci_low,broad_strengthening_seed_ci_high,strict_strengthening_n,strict_strengthening_denominator,strict_strengthening_rate,strict_strengthening_ci_low,strict_strengthening_ci_high,strict_strengthening_seed_ci_low,strict_strengthening_seed_ci_high,strengthening_ci_cluster_field,strict_high_conf_share_90,agreement_n_complete,agreement_n_incomplete_excluded,requirement_word_count_n,mean_requirement_word_count
gemma4-12b-it,all,all,mandatory,720,720,0,0,0,720,0.0,0.0,0.0,0.0,0.0,0,720,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,720,15.661111111111111
gemma4-12b-it,all,all,recommended,720,720,0,0,0,720,0.0,0.0,0.0,0.0,0.0,0,720,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,720,15.661111111111111
gemma4-12b-it,all,all,optional,720,720,0,0,0,720,0.0,0.0,0.0,0.0,0.0,0,720,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,720,15.6375
gemma4-12b-it,all,all,nice_to_have,720,720,0,0,720,720,1.0,1.0,1.0,1.0,1.0,720,720,1.0,1.0,1.0,1.0,1.0,item_id,1.0,720,0,720,15.647222222222222
gemma4-31b-it,all,all,mandatory,720,720,0,0,0,720,0.0,0.0,0.0,0.0,0.0,0,720,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,720,15.65
gemma4-31b-it,all,all,recommended,720,720,0,0,0,720,0.0,0.0,0.0,0.0,0.0,0,720,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,720,15.64861111111111
gemma4-31b-it,all,all,optional,720,720,0,0,0,720,0.0,0.0,0.0,0.0,0.0,0,720,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,720,15.661111111111111
gemma4-31b-it,all,all,nice_to_have,720,720,0,0,720,720,1.0,1.0,1.0,1.0,1.0,719,720,0.9986111111111111,0.9958333333333333,1.0,0.9958333333333333,1.0,item_id,1.0,719,0,720,15.668055555555556
glm-5.3,all,all,mandatory,720,720,0,0,0,720,0.0,0.0,0.0,0.0,0.0,0,720,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,720,15.615277777777777
glm-5.3,all,all,recommended,720,720,0,0,2,720,0.002777777777777778,0.0,0.008333333333333333,0.0,0.008333333333333333,2,720,0.002777777777777778,0.0,0.008333333333333333,0.0,0.008333333333333333,item_id,1.0,2,0,720,15.668055555555556
