model,dataset,variant,source_modality,n_items,n_valid,n_parse_failures,n_text_unclassified,broad_strengthening_n,broad_strengthening_denominator,broad_strengthening_rate,broad_strengthening_ci_low,broad_strengthening_ci_high,broad_strengthening_seed_ci_low,broad_strengthening_seed_ci_high,strict_strengthening_n,strict_strengthening_denominator,strict_strengthening_rate,strict_strengthening_ci_low,strict_strengthening_ci_high,strict_strengthening_seed_ci_low,strict_strengthening_seed_ci_high,strengthening_ci_cluster_field,strict_high_conf_share_90,agreement_n_complete,agreement_n_incomplete_excluded,requirement_word_count_n,mean_requirement_word_count
gemma4-12b-it,mlm_tapt,must,mandatory,180,180,0,0,0,180,0.0,0.0,0.0,0.0,0.0,0,180,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,17.116666666666667
gemma4-12b-it,mlm_tapt,must,recommended,180,180,0,0,0,180,0.0,0.0,0.0,0.0,0.0,0,180,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,17.116666666666667
gemma4-12b-it,mlm_tapt,must,optional,180,180,0,0,0,180,0.0,0.0,0.0,0.0,0.0,0,180,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,17.116666666666667
gemma4-12b-it,mlm_tapt,must,nice_to_have,180,180,0,0,180,180,1.0,1.0,1.0,1.0,1.0,180,180,1.0,1.0,1.0,1.0,1.0,item_id,1.0,180,0,180,17.1
gemma4-31b-it,mlm_tapt,must,mandatory,180,180,0,0,0,180,0.0,0.0,0.0,0.0,0.0,0,180,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,17.094444444444445
gemma4-31b-it,mlm_tapt,must,recommended,180,180,0,0,0,180,0.0,0.0,0.0,0.0,0.0,0,180,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,17.094444444444445
gemma4-31b-it,mlm_tapt,must,optional,180,180,0,0,0,180,0.0,0.0,0.0,0.0,0.0,0,180,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,17.116666666666667
gemma4-31b-it,mlm_tapt,must,nice_to_have,180,180,0,0,180,180,1.0,1.0,1.0,1.0,1.0,180,180,1.0,1.0,1.0,1.0,1.0,item_id,1.0,180,0,180,17.122222222222224
glm-5.3,mlm_tapt,must,mandatory,180,180,0,0,0,180,0.0,0.0,0.0,0.0,0.0,0,180,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,16.983333333333334
glm-5.3,mlm_tapt,must,recommended,180,180,0,0,1,180,0.005555555555555556,0.0,0.016666666666666666,0.0,0.016666666666666666,1,180,0.005555555555555556,0.0,0.016666666666666666,0.0,0.016666666666666666,item_id,1.0,1,0,180,17.094444444444445
glm-5.3,mlm_tapt,must,optional,180,180,0,0,1,180,0.005555555555555556,0.0,0.016666666666666666,0.0,0.016666666666666666,1,180,0.005555555555555556,0.0,0.016666666666666666,0.0,0.016666666666666666,item_id,1.0,1,0,180,17.07777777777778
glm-5.3,mlm_tapt,must,nice_to_have,180,180,0,0,180,180,1.0,1.0,1.0,1.0,1.0,180,180,1.0,1.0,1.0,1.0,1.0,item_id,0.48333333333333334,180,0,180,17.11111111111111
glm-5.3-flash,mlm_tapt,must,mandatory,180,180,0,0,0,180,0.0,0.0,0.0,0.0,0.0,0,180,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,17.011111111111113
glm-5.3-flash,mlm_tapt,must,recommended,180,180,0,0,10,180,0.05555555555555555,0.022222222222222223,0.08888888888888889,0.022222222222222223,0.08888888888888889,10,180,0.05555555555555555,0.022222222222222223,0.08888888888888889,0.022222222222222223,0.08888888888888889,item_id,1.0,10,0,180,17.183333333333334
glm-5.3-flash,mlm_tapt,must,optional,180,180,0,0,3,180,0.016666666666666666,0.0,0.03333333333333333,0.0,0.03333333333333333,3,180,0.016666666666666666,0.0,0.03333333333333333,0.0,0.03333333333333333,item_id,1.0,3,0,180,17.105555555555554
glm-5.3-flash,mlm_tapt,must,nice_to_have,180,180,0,1,178,179,0.994413407821229,0.9829545454545454,1.0,0.9829545454545454,1.0,178,179,0.994413407821229,0.9829545454545454,1.0,0.9829545454545454,1.0,item_id,0.4157303370786517,178,0,180,17.255555555555556
gpt-oss-20b,mlm_tapt,must,mandatory,180,180,0,63,0,117,0.0,0.0,0.0,0.0,0.0,0,117,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,15.661111111111111
gpt-oss-20b,mlm_tapt,must,recommended,180,180,0,66,40,114,0.3508771929824561,0.2608695652173913,0.44144707207207207,0.2608695652173913,0.44144707207207207,27,114,0.23684210526315788,0.15650777822098128,0.3185840707964602,0.15650777822098128,0.3185840707964602,item_id,1.0,27,0,180,15.577777777777778
gpt-oss-20b,mlm_tapt,must,optional,180,180,0,80,15,100,0.15,0.0851063829787234,0.21839978448275862,0.0851063829787234,0.21839978448275862,1,100,0.01,0.0,0.03225806451612903,0.0,0.03225806451612903,item_id,1.0,1,0,180,15.455555555555556
gpt-oss-20b,mlm_tapt,must,nice_to_have,180,180,0,43,137,137,1.0,1.0,1.0,1.0,1.0,137,137,1.0,1.0,1.0,1.0,1.0,item_id,0.8759124087591241,137,0,180,16.294444444444444
muse-glimmer-30b,mlm_tapt,must,mandatory,180,180,0,23,0,157,0.0,0.0,0.0,0.0,0.0,0,157,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,16.605555555555554
muse-glimmer-30b,mlm_tapt,must,recommended,180,180,0,15,18,165,0.10909090909090909,0.06585846164813232,0.1625,0.06585846164813232,0.1625,0,165,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,16.744444444444444
muse-glimmer-30b,mlm_tapt,must,optional,180,180,0,13,15,167,0.08982035928143713,0.04819277108433735,0.13530682643427738,0.04819277108433735,0.13530682643427738,0,167,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,16.81111111111111
muse-glimmer-30b,mlm_tapt,must,nice_to_have,180,180,0,0,180,180,1.0,1.0,1.0,1.0,1.0,180,180,1.0,1.0,1.0,1.0,1.0,item_id,0.7444444444444445,180,0,180,17.133333333333333
qwen3.5-9b,mlm_tapt,must,mandatory,180,180,0,0,0,180,0.0,0.0,0.0,0.0,0.0,0,180,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,17.144444444444446
qwen3.5-9b,mlm_tapt,must,recommended,180,180,0,0,14,180,0.07777777777777778,0.03888888888888889,0.11666666666666667,0.03888888888888889,0.11666666666666667,1,180,0.005555555555555556,0.0,0.016666666666666666,0.0,0.016666666666666666,item_id,1.0,1,0,180,17.07777777777778
qwen3.5-9b,mlm_tapt,must,optional,180,180,0,0,2,180,0.011111111111111112,0.0,0.027777777777777776,0.0,0.027777777777777776,0,180,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,17.183333333333334
qwen3.5-9b,mlm_tapt,must,nice_to_have,180,180,0,0,180,180,1.0,1.0,1.0,1.0,1.0,176,180,0.9777777777777777,0.9555555555555556,0.9944444444444445,0.9555555555555556,0.9944444444444445,item_id,1.0,176,0,180,17.02777777777778
qwen3.6-27b,mlm_tapt,must,mandatory,180,180,0,0,0,180,0.0,0.0,0.0,0.0,0.0,0,180,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,17.116666666666667
