model,dataset,variant,n_models_pooled,n_cells_pooled,bootstrap_samples,bootstrap_seed,task1_ci_cluster_field,task2_ci_cluster_field,task3_ci_cluster_field,task1_n,task1_accuracy,task2_n,task2_n_readable,task2_weak_n,task2_weak_n_readable,task3_n,task3_strict_joined_n,task3_strict_unaudited_n,task2_strict_agreement_incomplete_excluded,task1_unsupported_acceptance_90_n,task1_unsupported_acceptance_90_denominator,task1_unsupported_acceptance_90_rate,task1_unsupported_acceptance_90_ci_low,task1_unsupported_acceptance_90_ci_high,task1_unsupported_acceptance_90_seed_ci_low,task1_unsupported_acceptance_90_seed_ci_high,task2_no_cue_n,task2_no_cue_denominator,task2_no_cue_rate,task2_no_cue_ci_low,task2_no_cue_ci_high,task2_no_cue_seed_ci_low,task2_no_cue_seed_ci_high,task2_strict_strengthening_n,task2_strict_strengthening_denominator,task2_strict_strengthening_rate,task2_strict_strengthening_ci_low,task2_strict_strengthening_ci_high,task2_strict_strengthening_seed_ci_low,task2_strict_strengthening_seed_ci_high,task2_broad_strengthening_n,task2_broad_strengthening_denominator,task2_broad_strengthening_rate,task2_broad_strengthening_ci_low,task2_broad_strengthening_ci_high,task2_broad_strengthening_seed_ci_low,task2_broad_strengthening_seed_ci_high,task2_weak_strict_strengthening_n,task2_weak_strict_strengthening_denominator,task2_weak_strict_strengthening_rate,task2_weak_strict_strengthening_ci_low,task2_weak_strict_strengthening_ci_high,task2_weak_strict_strengthening_seed_ci_low,task2_weak_strict_strengthening_seed_ci_high,task2_weak_strict_high_conf_90_n,task2_weak_strict_high_conf_90_denominator,task2_weak_strict_high_conf_90_rate,task2_weak_strict_high_conf_90_ci_low,task2_weak_strict_high_conf_90_ci_high,task2_weak_strict_high_conf_90_seed_ci_low,task2_weak_strict_high_conf_90_seed_ci_high,task2_weak_strict_escalation_n,task2_weak_strict_escalation_denominator,task2_weak_strict_escalation_rate,task2_weak_strict_escalation_ci_low,task2_weak_strict_escalation_ci_high,task2_weak_strict_escalation_seed_ci_low,task2_weak_strict_escalation_seed_ci_high,task2_weak_strict_frame_only_n,task2_weak_strict_frame_only_denominator,task2_weak_strict_frame_only_rate,task2_weak_strict_frame_only_ci_low,task2_weak_strict_frame_only_ci_high,task2_weak_strict_frame_only_seed_ci_low,task2_weak_strict_frame_only_seed_ci_high,task2_strict_high_conf_90_n,task2_strict_high_conf_90_denominator,task2_strict_high_conf_90_rate,task2_strict_high_conf_90_ci_low,task2_strict_high_conf_90_ci_high,task2_strict_high_conf_90_seed_ci_low,task2_strict_high_conf_90_seed_ci_high,task2_strict_agreement_n,task2_strict_agreement_denominator,task2_strict_agreement_rate,task2_strict_agreement_ci_low,task2_strict_agreement_ci_high,task2_strict_agreement_seed_ci_low,task2_strict_agreement_seed_ci_high,task3_strict_flagged_n,task3_strict_flagged_denominator,task3_strict_flagged_rate,task3_strict_flagged_ci_low,task3_strict_flagged_ci_high,task3_strict_flagged_seed_ci_low,task3_strict_flagged_seed_ci_high,task3_strict_called_preserved_n,task3_strict_called_preserved_denominator,task3_strict_called_preserved_rate,task3_strict_called_preserved_ci_low,task3_strict_called_preserved_ci_high,task3_strict_called_preserved_seed_ci_low,task3_strict_called_preserved_seed_ci_high,task2_strict_strengthening_n_unreadable,task2_strict_strengthening_lower_bound,task2_strict_strengthening_upper_bound,task2_weak_strict_strengthening_n_unreadable,task2_weak_strict_strengthening_lower_bound,task2_weak_strict_strengthening_upper_bound,task2_meaning_variation_auroc,task2_meaning_variation_auroc_n,task2_meaning_variation_auroc_n_positive,task2_meaning_variation_auroc_ci_low,task2_meaning_variation_auroc_ci_high,task2_meaning_variation_auroc_seed_ci_low,task2_meaning_variation_auroc_seed_ci_high,task2_verbalized_confidence_auroc,task2_verbalized_confidence_auroc_n,task2_verbalized_confidence_auroc_n_positive,task2_verbalized_confidence_auroc_ci_low,task2_verbalized_confidence_auroc_ci_high,task2_verbalized_confidence_auroc_seed_ci_low,task2_verbalized_confidence_auroc_seed_ci_high
gemma4-12b-it,all,all,1,4,1000,20260518,item_id,item_id,item_id,2880,0.9996527777777777,2880,2880,720,720,720,720,0,0,1,2160,0.000462962962962963,0.0,0.0014111338765140766,0.0,0.001388888888888889,0,2880,0.0,0.0,0.0,0.0,0.0,720,2880,0.25,0.22777777777777777,0.27152777777777776,0.25,0.25,720,2880,0.25,0.22777777777777777,0.27152777777777776,0.25,0.25,720,720,1.0,1.0,1.0,1.0,1.0,720,720,1.0,1.0,1.0,1.0,1.0,64,720,0.08888888888888889,0.06265910574412532,0.1215882756844906,0.06111111111111111,0.11944444444444445,656,720,0.9111111111111111,0.8784117243155094,0.9373408942558746,0.8805555555555555,0.9388888888888889,720,720,1.0,1.0,1.0,1.0,1.0,720,720,1.0,1.0,1.0,1.0,1.0,703,720,0.9763888888888889,0.9610763888888889,0.9888888888888889,0.9610763888888889,0.9888888888888889,0,720,0.0,0.0,0.0,0.0,0.0,0,0.25,0.25,0,1.0,1.0,0.9657478137860082,2880,720,0.9564624432098332,0.9740259122689926,0.9544635014789093,0.9752953719778806,1.0,2880,720,1.0,1.0,1.0,1.0
gemma4-31b-it,all,all,1,4,1000,20260518,item_id,item_id,item_id,2880,1.0,2880,2880,720,720,719,719,0,0,0,2160,0.0,0.0,0.0,0.0,0.0,0,2880,0.0,0.0,0.0,0.0,0.0,719,2880,0.24965277777777778,0.22743055555555555,0.27152777777777776,0.24895833333333334,0.25,720,2880,0.25,0.22777777777777777,0.27152777777777776,0.25,0.25,719,720,0.9986111111111111,0.9958330431754875,1.0,0.9958333333333333,1.0,719,720,0.9986111111111111,0.9958330431754875,1.0,0.9958333333333333,1.0,428,720,0.5944444444444444,0.5449434131248982,0.6426775484723855,0.5416666666666666,0.6389236111111111,291,720,0.4041666666666667,0.356190017074894,0.4532696291911547,0.3596875,0.4583333333333333,719,719,1.0,1.0,1.0,1.0,1.0,719,719,1.0,1.0,1.0,1.0,1.0,697,719,0.9694019471488178,0.9513888888888888,0.9847009735744089,0.9513888888888888,0.9847009735744089,20,719,0.027816411682892908,0.013888888888888888,0.044444444444444446,0.013888888888888888,0.044444444444444446,0,0.24965277777777778,0.24965277777777778,0,0.9986111111111111,0.9986111111111111,0.9420846476190968,2880,719,0.9296248112587483,0.9538186489428943,0.9293411470083738,0.9555092271090535,0.9997605806305868,2880,719,0.9992747566532508,1.0,0.9992765113926303,1.0
glm-5.3,all,all,1,4,1000,20260518,item_id,item_id,item_id,2880,0.9913194444444444,2880,2880,720,720,725,725,0,0,14,2160,0.006481481481481481,0.002816835346034934,0.011047136465680577,0.002777777777777778,0.011122685185185175,0,2880,0.0,0.0,0.0,0.0,0.0,725,2880,0.2517361111111111,0.22950520833333332,0.27395833333333336,0.25,0.2548611111111111,725,2880,0.2517361111111111,0.22950520833333332,0.27395833333333336,0.25,0.2548611111111111,720,720,1.0,1.0,1.0,1.0,1.0,316,720,0.4388888888888889,0.40215245995423343,0.47456028209068585,0.3985763888888889,0.47638888888888886,590,720,0.8194444444444444,0.7885646637485078,0.8489628232758621,0.7861111111111111,0.8486458333333333,130,720,0.18055555555555555,0.1510371767241379,0.21143533625149225,0.15135416666666665,0.21388888888888888,321,725,0.44275862068965516,0.4013654887432317,0.48137931034482756,0.40221875799987006,0.4799460580912863,717,725,0.9889655172413793,0.9806896551724138,0.9958620689655172,0.9805818500539374,0.9958620689655172,669,725,0.9227586206896552,0.9020689655172414,0.940771349862259,0.9029049635755857,0.9407058380768688,17,725,0.023448275862068966,0.013774104683195593,0.03581390709603876,0.012447702941243895,0.03611111111111111,0,0.2517361111111111,0.2517361111111111,0,1.0,1.0,0.6725875670053604,2880,725,0.646061227470472,0.7003206360118407,0.6456839309449633,0.6977493086490385,0.9894017121369709,2880,725,0.9851189902564806,0.9929019061568284,0.9844566007238695,0.9932918985788491
glm-5.3-flash,all,all,1,4,1000,20260518,item_id,item_id,item_id,2880,0.9989583333333333,2880,2879,720,719,752,752,0,0,1,2160,0.000462962962962963,0.0,0.0014005929474593575,0.0,0.001388888888888889,1,2880,0.00034722222222222224,0.0,0.0010416666666666667,0.0,0.0010416666666666667,752,2879,0.26120180618270233,0.23862452240361237,0.28318652999768357,0.2575554852096788,0.265625,753,2879,0.2615491490100729,0.238971865230983,0.2836854839877229,0.25772837790899616,0.2659722222222222,718,719,0.9986091794158554,0.9957261904761905,1.0,0.9958217270194986,1.0,341,719,0.47426981919332406,0.4345753199847093,0.5145561315924219,0.43671766342141866,0.5125008704735375,632,719,0.8789986091794159,0.8519988826815642,0.9035217350702713,0.8513888888888889,0.9041666666666667,86,719,0.11961057023643949,0.09560699137048413,0.14550821469814745,0.0947075208913649,0.14666239913097454,375,752,0.49867021276595747,0.4592888289362236,0.5344873563218391,0.45949445461397653,0.536427083153217,353,752,0.46941489361702127,0.4249527090576685,0.5085882407780379,0.427609344823524,0.5105834177642689,679,752,0.9029255319148937,0.8793023202494498,0.9252361370716511,0.8776247517378352,0.9257319022607902,64,752,0.0851063829787234,0.06460296096904442,0.10800092226613965,0.06340609892542079,0.1083251102162945,1,0.2611111111111111,0.26145833333333335,1,0.9972222222222222,0.9986111111111111,0.7645479473636827,2879,752,0.7401247642385973,0.7872180692532165,0.7405422813697935,0.788973758613075,0.9850531789854856,2879,752,0.9802790305458163,0.9889974085307791,0.9806706949013518,0.9889082884588607
gpt-oss-20b,all,all,1,4,1000,20260518,item_id,item_id,item_id,2880,0.9996527777777777,2880,1971,720,578,675,675,0,0,0,2160,0.0,0.0,0.0,0.0,0.0,909,2880,0.315625,0.2951388888888889,0.33645833333333336,0.2867708333333333,0.3451475694444444,675,1971,0.3424657534246575,0.316797113438094,0.37103284378599616,0.328542219434491,0.35688391130146446,837,1971,0.4246575342465753,0.3959154414453953,0.4518882112657812,0.405683287350918,0.44444585879158177,577,578,0.9982698961937716,0.994554358537079,1.0,0.9946803778299387,1.0,483,578,0.8356401384083045,0.8025662904211627,0.8645790534833665,0.8035548407569814,0.864584273465704,563,578,0.9740484429065744,0.9601799205033036,0.9854293733202424,0.960262424797873,0.9858657243816255,14,578,0.02422145328719723,0.013432586763583406,0.03753024774342231,0.013489027468112317,0.0375,581,675,0.8607407407407407,0.8318837401474701,0.886569906973555,0.8325918332768554,0.8875562218890555,198,675,0.29333333333333333,0.2564924877011036,0.3318826730751208,0.25675376704137765,0.3285434986083401,667,675,0.9881481481481481,0.9788503616222649,0.9956395348837209,0.9785046422780481,0.9956776985764433,4,675,0.005925925925925926,0.0014028776978417287,0.011940298507462687,0.001388888888888891,0.012216563356426208,909,0.234375,0.55,142,0.8013888888888889,0.9986111111111111,0.6087665752171925,1971,675,0.5798411210383464,0.6362265756927779,0.5831128495887842,0.6349502557680249,0.8840832190214907,1971,675,0.8688864767185553,0.8983631995597642,0.8714979086231456,0.8972646006580982
muse-glimmer-30b,all,all,1,4,1000,20260518,item_id,item_id,item_id,2880,1.0,2880,2698,720,720,720,720,0,0,0,2160,0.0,0.0,0.0,0.0,0.0,182,2880,0.06319444444444444,0.052421875,0.07534722222222222,0.048949652777777776,0.07708333333333334,720,2698,0.2668643439584878,0.24298665135139838,0.28961340885613446,0.2628672620142148,0.2708803611738149,908,2698,0.3365455893254262,0.31210425900410976,0.36064600692876836,0.32508242981502256,0.34995403518409124,720,720,1.0,1.0,1.0,1.0,1.0,521,720,0.7236111111111111,0.6841325779036828,0.7628933803581117,0.6819444444444445,0.7625,0,720,0.0,0.0,0.0,0.0,0.0,720,720,1.0,1.0,1.0,1.0,1.0,521,720,0.7236111111111111,0.6819444444444445,0.7625,0.6819444444444445,0.7625,720,720,1.0,1.0,1.0,1.0,1.0,660,720,0.9166666666666666,0.8944444444444445,0.9375,0.8944444444444445,0.9375,0,720,0.0,0.0,0.0,0.0,0.0,182,0.25,0.31319444444444444,0,1.0,1.0,0.2988596786877879,2698,720,0.27989742476953366,0.317067939774109,0.2766480778925045,0.3207235503974553,0.9710889225929671,2698,720,0.9644718839008173,0.9767989398854185,0.9645090666094635,0.9769394109551537
qwen3.5-9b,all,all,1,4,1000,20260518,item_id,item_id,item_id,2880,0.7923611111111111,2880,2880,720,720,708,708,0,0,598,2160,0.27685185185185185,0.2523398540153537,0.29991348418870506,0.26342592592592595,0.2902777777777778,0,2880,0.0,0.0,0.0,0.0,0.0,708,2880,0.24583333333333332,0.22394965277777779,0.2677083333333333,0.2423611111111111,0.24930555555555556,820,2880,0.2847222222222222,0.26180555555555557,0.3076388888888889,0.2763888888888889,0.2934027777777778,706,720,0.9805555555555555,0.9666621983914209,0.9926305192752561,0.9680555555555556,0.9930555555555556,706,720,0.9805555555555555,0.9666621983914209,0.9926305192752561,0.9680555555555556,0.9930555555555556,652,720,0.9055555555555556,0.8756537954245691,0.9327756993208243,0.8777777777777778,0.9319444444444445,54,720,0.075,0.05013541197417251,0.10294577205882352,0.05,0.10277777777777777,708,708,1.0,1.0,1.0,1.0,1.0,614,708,0.867231638418079,0.8356629851889683,0.8984556604952599,0.8347457627118644,0.8998589562764457,612,708,0.864406779661017,0.8305084745762712,0.8931172384445724,0.8309604496570073,0.8937714618284976,14,708,0.01977401129943503,0.008450704225352112,0.03397663907439566,0.00706189787478186,0.03536067892503536,0,0.24583333333333332,0.24583333333333332,0,0.9805555555555555,0.9805555555555555,0.7097145488029466,2880,708,0.683731256152587,0.7331126488564067,0.6871293392466754,0.7342843327019868,0.981353591160221,2880,708,0.976026479228534,0.9863244916570392,0.9763639462452709,0.9863982912274274
qwen3.6-27b,all,all,1,4,1000,20260518,item_id,item_id,item_id,2880,0.9993055555555556,2880,2880,720,720,720,720,0,0,0,2160,0.0,0.0,0.0,0.0,0.0,0,2880,0.0,0.0,0.0,0.0,0.0,720,2880,0.25,0.22777777777777777,0.27152777777777776,0.25,0.25,720,2880,0.25,0.22777777777777777,0.27152777777777776,0.25,0.25,720,720,1.0,1.0,1.0,1.0,1.0,720,720,1.0,1.0,1.0,1.0,1.0,720,720,1.0,1.0,1.0,1.0,1.0,0,720,0.0,0.0,0.0,0.0,0.0,720,720,1.0,1.0,1.0,1.0,1.0,142,720,0.19722222222222222,0.15416666666666667,0.2375,0.15416666666666667,0.2375,718,720,0.9972222222222222,0.9916666666666667,1.0,0.9916666666666667,1.0,0,720,0.0,0.0,0.0,0.0,0.0,0,0.25,0.25,0,1.0,1.0,0.9310834619341564,2880,720,0.913984249002051,0.9472895210887451,0.9113716242283949,0.949929960776749,1.0,2880,720,1.0,1.0,1.0,1.0
qwen3.8-27b,all,all,1,4,1000,20260518,item_id,item_id,item_id,2880,0.9947916666666666,2880,2880,720,720,720,720,0,0,0,2160,0.0,0.0,0.0,0.0,0.0,0,2880,0.0,0.0,0.0,0.0,0.0,720,2880,0.25,0.22777777777777777,0.27152777777777776,0.25,0.25,720,2880,0.25,0.22777777777777777,0.27152777777777776,0.25,0.25,720,720,1.0,1.0,1.0,1.0,1.0,719,720,0.9986111111111111,0.9956011730205279,1.0,0.9958333333333333,1.0,720,720,1.0,1.0,1.0,1.0,1.0,0,720,0.0,0.0,0.0,0.0,0.0,719,720,0.9986111111111111,0.9958333333333333,1.0,0.9958333333333333,1.0,180,720,0.25,0.20555555555555555,0.2944791666666666,0.20555555555555555,0.2944791666666666,718,720,0.9972222222222222,0.9916666666666667,1.0,0.9916666666666667,1.0,0,720,0.0,0.0,0.0,0.0,0.0,0,0.25,0.25,0,1.0,1.0,0.6960879629629628,2880,720,0.668210551410554,0.7210896708991358,0.6679202192644033,0.725000643004115,0.6965380658436213,2880,720,0.6820200180545738,0.7116450166137285,0.689669921875,0.7035770560056585
all,mlm_tapt,must,9,1,1000,20260518,item_id,item_id,item_id,6480,0.9770061728395062,6480,6176,1620,1576,1615,1615,0,0,148,4860,0.030452674897119343,0.02617985160687024,0.03453280337338904,0.027983539094650206,0.03292181069958848,304,6480,0.04691358024691358,0.04243827160493827,0.05154320987654321,0.04104938271604938,0.05308641975308642,1615,6176,0.2614961139896373,0.22991953933539516,0.29285714285714287,0.258547676445645,0.26436650133503375,1694,6176,0.27428756476683935,0.24269265282779828,0.3049454367335491,0.27034864913420975,0.27813982076284316,1571,1576,0.9968274111675127,0.99397894982401,0.9993515230503822,0.9936506928057119,0.9993650793650793,1311,1576,0.8318527918781726,0.8149738945994452,0.846961269395684,0.8170780268369298,0.8476761030799771,1067,1576,0.6770304568527918,0.6610711093709642,0.6931992136892469,0.6613267311057074,0.6920212045314947,504,1576,0.3197969543147208,0.3040747361936901,0.33596840462296346,0.30505924227896447,0.33586428131377305,1355,1615,0.8390092879256966,0.8243973872208623,0.854122116823918,0.8249837619151266,0.8538560775842151,1061,1615,0.6569659442724458,0.6411972368075318,0.6730373596613994,0.6395265899700452,0.6732919254658385,1518,1615,0.939938080495356,0.926221342098279,0.9530966889921799,0.9261323023033178,0.9523831569664902,34,1615,0.021052631578947368,0.014413878835030274,0.027947500498721457,0.014222556776029181,0.027952487374470307,304,0.2492283950617284,0.296141975308642,44,0.9697530864197531,0.9969135802469136,0.716894820333654,6176,1615,0.7051388734831092,0.7295199698604637,0.7031851558483307,0.7299782729716375,0.9362294266302744,6176,1615,0.9311119564081954,0.9412514226887508,0.9328071690509074,0.9396212479100383
