model,auditable_source_items,reference_available_items,reference_unavailable_items,observed_deterministic_audits,parsed_deterministic_audits,parsed_unscored_audits,missing_deterministic_audits,complete_stochastic_groups,dataset_id,benchmark_variant
gemma4-12b-it,720,720,0,720,720,0,0,720,mlm_tapt,must
gemma4-31b-it,720,720,0,720,720,0,0,720,mlm_tapt,must
glm-5.3,720,720,0,720,720,0,0,720,mlm_tapt,must
glm-5.3-flash,720,719,1,720,720,1,0,720,mlm_tapt,must
gpt-oss-20b,720,468,252,720,720,252,0,720,mlm_tapt,must
muse-glimmer-30b,720,669,51,720,720,51,0,720,mlm_tapt,must
qwen3.5-9b,720,720,0,720,720,0,0,720,mlm_tapt,must
qwen3.6-27b,720,720,0,720,720,0,0,720,mlm_tapt,must
qwen3.8-27b,720,720,0,720,720,0,0,720,mlm_tapt,must
gemma4-12b-it,720,720,0,720,720,0,0,720,mlm_tapt,shall
gemma4-31b-it,720,720,0,720,720,0,0,720,mlm_tapt,shall
glm-5.3,720,720,0,720,720,0,0,720,mlm_tapt,shall
glm-5.3-flash,720,720,0,720,720,0,0,720,mlm_tapt,shall
gpt-oss-20b,720,512,208,720,720,208,0,720,mlm_tapt,shall
muse-glimmer-30b,720,674,46,720,720,46,0,720,mlm_tapt,shall
qwen3.5-9b,720,720,0,720,720,0,0,720,mlm_tapt,shall
qwen3.6-27b,720,720,0,720,720,0,0,720,mlm_tapt,shall
qwen3.8-27b,720,720,0,720,720,0,0,720,mlm_tapt,shall
gemma4-12b-it,720,720,0,720,720,0,0,720,nice,must
gemma4-31b-it,720,720,0,720,720,0,0,720,nice,must
glm-5.3,720,720,0,720,720,0,0,720,nice,must
glm-5.3-flash,720,720,0,720,720,0,0,720,nice,must
gpt-oss-20b,720,494,226,720,720,226,0,720,nice,must
muse-glimmer-30b,720,669,51,720,720,51,0,720,nice,must
qwen3.5-9b,720,720,0,720,720,0,0,720,nice,must
qwen3.6-27b,720,720,0,720,720,0,0,720,nice,must
qwen3.8-27b,720,720,0,720,720,0,0,720,nice,must
gemma4-12b-it,720,720,0,720,720,0,0,720,nice,shall
gemma4-31b-it,720,720,0,720,720,0,0,720,nice,shall
glm-5.3,720,720,0,720,720,0,0,720,nice,shall
glm-5.3-flash,720,720,0,720,720,0,0,720,nice,shall
gpt-oss-20b,720,497,223,720,720,223,0,720,nice,shall
muse-glimmer-30b,720,686,34,720,720,34,0,720,nice,shall
qwen3.5-9b,720,720,0,720,720,0,0,720,nice,shall
qwen3.6-27b,720,720,0,720,720,0,0,720,nice,shall
qwen3.8-27b,720,720,0,720,720,0,0,720,nice,shall
